STATION,STATION_NAME,DATE,HPCP
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 01:00,0.00
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 11:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 12:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 13:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 14:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 15:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 16:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 17:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 18:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 19:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 20:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 21:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 22:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500101 23:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 00:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 01:00,0.03
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 02:00,0.04
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 03:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 04:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 05:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 06:00,0.02
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 07:00,0.01
COOP:502968,FAIRBANKS INTERNATIONAL AIRPORT AK US,19500102 08:00,0.01
