# Monthly mean ERA5 wind speed for PABR, lon/lat = 203.25/71.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:47.965522
Time,wsp10,year,month
1981-01-31,6.375,1981,1
1981-02-28,6.044,1981,2
1981-03-31,7.105,1981,3
1981-04-30,4.629,1981,4
1981-05-31,5.304,1981,5
1981-06-30,5.422,1981,6
1981-07-31,5.431,1981,7
1981-08-31,4.596,1981,8
1981-09-30,5.217,1981,9
1981-10-31,5.565,1981,10
1981-11-30,6.125,1981,11
1981-12-31,5.614,1981,12
1982-01-31,6.645,1982,1
1982-02-28,6.063,1982,2
1982-03-31,6.182,1982,3
1982-04-30,5.066,1982,4
1982-05-31,6.569,1982,5
1982-06-30,5.869,1982,6
1982-07-31,5.273,1982,7
1982-08-31,5.033,1982,8
1982-09-30,6.200,1982,9
1982-10-31,5.331,1982,10
1982-11-30,7.654,1982,11
1982-12-31,8.008,1982,12
1983-01-31,6.226,1983,1
1983-02-28,7.403,1983,2
1983-03-31,6.536,1983,3
1983-04-30,7.833,1983,4
1983-05-31,5.860,1983,5
1983-06-30,5.463,1983,6
1983-07-31,4.955,1983,7
1983-08-31,5.319,1983,8
1983-09-30,5.241,1983,9
1983-10-31,4.923,1983,10
1983-11-30,6.131,1983,11
1983-12-31,6.949,1983,12
1984-01-31,5.365,1984,1
1984-02-29,4.493,1984,2
1984-03-31,5.729,1984,3
1984-04-30,4.121,1984,4
1984-05-31,5.478,1984,5
1984-06-30,4.661,1984,6
1984-07-31,4.558,1984,7
1984-08-31,4.235,1984,8
1984-09-30,5.081,1984,9
1984-10-31,6.668,1984,10
1984-11-30,6.581,1984,11
1984-12-31,5.922,1984,12
1985-01-31,7.924,1985,1
1985-02-28,4.874,1985,2
1985-03-31,4.786,1985,3
1985-04-30,6.119,1985,4
1985-05-31,5.235,1985,5
1985-06-30,5.404,1985,6
1985-07-31,5.358,1985,7
1985-08-31,5.012,1985,8
1985-09-30,5.311,1985,9
1985-10-31,5.556,1985,10
1985-11-30,5.735,1985,11
1985-12-31,6.834,1985,12
1986-01-31,8.894,1986,1
1986-02-28,5.369,1986,2
1986-03-31,4.875,1986,3
1986-04-30,5.377,1986,4
1986-05-31,4.620,1986,5
1986-06-30,5.239,1986,6
1986-07-31,4.922,1986,7
1986-08-31,5.408,1986,8
1986-09-30,6.143,1986,9
1986-10-31,4.874,1986,10
1986-11-30,5.036,1986,11
1986-12-31,6.288,1986,12
1987-01-31,5.656,1987,1
1987-02-28,5.667,1987,2
1987-03-31,5.313,1987,3
1987-04-30,6.439,1987,4
1987-05-31,6.449,1987,5
1987-06-30,6.435,1987,6
1987-07-31,5.507,1987,7
1987-08-31,5.873,1987,8
1987-09-30,5.926,1987,9
1987-10-31,5.117,1987,10
1987-11-30,7.231,1987,11
1987-12-31,5.672,1987,12
1988-01-31,6.733,1988,1
1988-02-29,5.517,1988,2
1988-03-31,4.580,1988,3
1988-04-30,6.235,1988,4
1988-05-31,8.021,1988,5
1988-06-30,4.950,1988,6
1988-07-31,4.841,1988,7
1988-08-31,5.265,1988,8
1988-09-30,5.070,1988,9
1988-10-31,5.608,1988,10
1988-11-30,6.369,1988,11
1988-12-31,5.287,1988,12
1989-01-31,5.326,1989,1
1989-02-28,7.723,1989,2
1989-03-31,5.155,1989,3
1989-04-30,5.884,1989,4
1989-05-31,4.715,1989,5
1989-06-30,4.139,1989,6
1989-07-31,4.455,1989,7
1989-08-31,4.911,1989,8
1989-09-30,5.446,1989,9
1989-10-31,5.526,1989,10
1989-11-30,5.425,1989,11
1989-12-31,7.097,1989,12
1990-01-31,5.000,1990,1
1990-02-28,5.709,1990,2
1990-03-31,4.752,1990,3
1990-04-30,5.757,1990,4
1990-05-31,5.305,1990,5
1990-06-30,4.119,1990,6
1990-07-31,4.849,1990,7
1990-08-31,6.393,1990,8
1990-09-30,6.299,1990,9
1990-10-31,5.996,1990,10
1990-11-30,5.522,1990,11
1990-12-31,5.271,1990,12
1991-01-31,6.284,1991,1
1991-02-28,5.717,1991,2
1991-03-31,4.673,1991,3
1991-04-30,5.052,1991,4
1991-05-31,5.853,1991,5
1991-06-30,5.538,1991,6
1991-07-31,4.353,1991,7
1991-08-31,5.349,1991,8
1991-09-30,6.077,1991,9
1991-10-31,5.102,1991,10
1991-11-30,4.837,1991,11
1991-12-31,5.699,1991,12
1992-01-31,7.439,1992,1
1992-02-29,4.860,1992,2
1992-03-31,4.608,1992,3
1992-04-30,5.932,1992,4
1992-05-31,5.549,1992,5
1992-06-30,5.256,1992,6
1992-07-31,5.091,1992,7
1992-08-31,5.097,1992,8
1992-09-30,4.681,1992,9
1992-10-31,5.314,1992,10
1992-11-30,5.694,1992,11
1992-12-31,6.540,1992,12
1993-01-31,6.430,1993,1
1993-02-28,6.304,1993,2
1993-03-31,5.192,1993,3
1993-04-30,6.394,1993,4
1993-05-31,7.130,1993,5
1993-06-30,4.372,1993,6
1993-07-31,4.740,1993,7
1993-08-31,4.569,1993,8
1993-09-30,6.573,1993,9
1993-10-31,6.931,1993,10
1993-11-30,4.976,1993,11
1993-12-31,7.606,1993,12
1994-01-31,8.002,1994,1
1994-02-28,5.918,1994,2
1994-03-31,5.213,1994,3
1994-04-30,4.658,1994,4
1994-05-31,7.528,1994,5
1994-06-30,4.041,1994,6
1994-07-31,4.259,1994,7
1994-08-31,4.805,1994,8
1994-09-30,5.413,1994,9
1994-10-31,4.948,1994,10
1994-11-30,6.465,1994,11
1994-12-31,5.769,1994,12
1995-01-31,5.512,1995,1
1995-02-28,5.716,1995,2
1995-03-31,6.107,1995,3
1995-04-30,6.401,1995,4
1995-05-31,6.254,1995,5
1995-06-30,4.503,1995,6
1995-07-31,5.003,1995,7
1995-08-31,4.311,1995,8
1995-09-30,5.748,1995,9
1995-10-31,6.260,1995,10
1995-11-30,5.392,1995,11
1995-12-31,7.324,1995,12
1996-01-31,4.891,1996,1
1996-02-29,6.010,1996,2
1996-03-31,5.552,1996,3
1996-04-30,4.962,1996,4
1996-05-31,4.826,1996,5
1996-06-30,4.568,1996,6
1996-07-31,5.057,1996,7
1996-08-31,5.587,1996,8
1996-09-30,5.591,1996,9
1996-10-31,5.197,1996,10
1996-11-30,5.656,1996,11
1996-12-31,6.463,1996,12
1997-01-31,5.383,1997,1
1997-02-28,5.477,1997,2
1997-03-31,4.947,1997,3
1997-04-30,5.092,1997,4
1997-05-31,5.446,1997,5
1997-06-30,4.460,1997,6
1997-07-31,4.658,1997,7
1997-08-31,5.459,1997,8
1997-09-30,6.109,1997,9
1997-10-31,5.265,1997,10
1997-11-30,6.147,1997,11
1997-12-31,6.587,1997,12
1998-01-31,7.059,1998,1
1998-02-28,6.272,1998,2
