# Monthly mean ERA5 temperature for PABE, lon/lat = 198.25/60.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:43.752148
Time,t2m,year,month
1981-01-31,-5.198,1981,1
1981-02-28,-10.301,1981,2
1981-03-31,-0.923,1981,3
1981-04-30,0.218,1981,4
1981-05-31,9.469,1981,5
1981-06-30,11.618,1981,6
1981-07-31,12.281,1981,7
1981-08-31,12.421,1981,8
1981-09-30,7.146,1981,9
1981-10-31,0.227,1981,10
1981-11-30,-7.165,1981,11
1981-12-31,-13.112,1981,12
1982-01-31,-10.962,1982,1
1982-02-28,-12.297,1982,2
1982-03-31,-6.714,1982,3
1982-04-30,-7.597,1982,4
1982-05-31,3.698,1982,5
1982-06-30,10.895,1982,6
1982-07-31,11.909,1982,7
1982-08-31,12.348,1982,8
1982-09-30,7.857,1982,9
1982-10-31,-2.164,1982,10
1982-11-30,-5.950,1982,11
1982-12-31,-10.661,1982,12
1983-01-31,-16.383,1983,1
1983-02-28,-11.074,1983,2
1983-03-31,-5.188,1983,3
1983-04-30,-0.770,1983,4
1983-05-31,7.824,1983,5
1983-06-30,12.562,1983,6
1983-07-31,13.286,1983,7
1983-08-31,10.470,1983,8
1983-09-30,6.259,1983,9
1983-10-31,-2.460,1983,10
1983-11-30,-5.216,1983,11
1983-12-31,-4.736,1983,12
1984-01-31,-13.884,1984,1
1984-02-29,-26.617,1984,2
1984-03-31,-3.309,1984,3
1984-04-30,-4.162,1984,4
1984-05-31,4.573,1984,5
1984-06-30,13.024,1984,6
1984-07-31,12.665,1984,7
1984-08-31,10.643,1984,8
1984-09-30,8.352,1984,9
1984-10-31,-0.476,1984,10
1984-11-30,-7.659,1984,11
1984-12-31,-7.230,1984,12
1985-01-31,-2.462,1985,1
1985-02-28,-15.193,1985,2
1985-03-31,-10.064,1985,3
1985-04-30,-12.379,1985,4
1985-05-31,3.451,1985,5
1985-06-30,8.925,1985,6
1985-07-31,14.078,1985,7
1985-08-31,11.743,1985,8
1985-09-30,7.617,1985,9
1985-10-31,-2.975,1985,10
1985-11-30,-4.073,1985,11
1985-12-31,-1.775,1985,12
1986-01-31,-16.174,1986,1
1986-02-28,-7.836,1986,2
1986-03-31,-9.783,1986,3
1986-04-30,-4.236,1986,4
1986-05-31,4.994,1986,5
1986-06-30,11.690,1986,6
1986-07-31,13.089,1986,7
1986-08-31,10.834,1986,8
1986-09-30,8.128,1986,9
1986-10-31,-0.711,1986,10
1986-11-30,-5.469,1986,11
1986-12-31,-4.533,1986,12
1987-01-31,-10.977,1987,1
1987-02-28,-10.635,1987,2
1987-03-31,-5.795,1987,3
1987-04-30,-2.694,1987,4
1987-05-31,4.980,1987,5
1987-06-30,10.562,1987,6
1987-07-31,13.360,1987,7
1987-08-31,13.935,1987,8
1987-09-30,6.294,1987,9
1987-10-31,2.030,1987,10
1987-11-30,-9.860,1987,11
1987-12-31,-15.846,1987,12
1988-01-31,-7.711,1988,1
1988-02-29,-11.079,1988,2
1988-03-31,-13.469,1988,3
1988-04-30,-3.035,1988,4
1988-05-31,6.993,1988,5
1988-06-30,11.114,1988,6
1988-07-31,15.482,1988,7
1988-08-31,11.461,1988,8
1988-09-30,7.171,1988,9
1988-10-31,-2.257,1988,10
1988-11-30,-14.186,1988,11
1988-12-31,-10.674,1988,12
1989-01-31,-24.727,1989,1
1989-02-28,-2.865,1989,2
1989-03-31,-7.699,1989,3
1989-04-30,-0.764,1989,4
1989-05-31,4.073,1989,5
1989-06-30,11.380,1989,6
1989-07-31,12.679,1989,7
1989-08-31,12.392,1989,8
1989-09-30,9.520,1989,9
1989-10-31,-0.029,1989,10
1989-11-30,-11.725,1989,11
1989-12-31,-10.545,1989,12
1990-01-31,-14.878,1990,1
1990-02-28,-24.230,1990,2
1990-03-31,-9.552,1990,3
1990-04-30,1.252,1990,4
1990-05-31,6.632,1990,5
1990-06-30,11.129,1990,6
1990-07-31,14.179,1990,7
1990-08-31,13.211,1990,8
1990-09-30,6.761,1990,9
1990-10-31,-0.560,1990,10
1990-11-30,-8.267,1990,11
1990-12-31,-12.203,1990,12
1991-01-31,-11.756,1991,1
1991-02-28,-13.502,1991,2
1991-03-31,-7.183,1991,3
1991-04-30,-0.570,1991,4
1991-05-31,7.146,1991,5
1991-06-30,11.523,1991,6
1991-07-31,14.110,1991,7
1991-08-31,12.271,1991,8
1991-09-30,9.785,1991,9
1991-10-31,2.189,1991,10
1991-11-30,-9.587,1991,11
1991-12-31,-15.888,1991,12
1992-01-31,-13.777,1992,1
1992-02-29,-17.310,1992,2
1992-03-31,-11.722,1992,3
1992-04-30,-2.555,1992,4
