# Monthly mean ERA5 wind speed for PABE, lon/lat = 198.25/60.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 20:11:05.139754
Time,wsp10,year,month
1981-01-31,5.764,1981,1
1981-02-28,6.369,1981,2
1981-03-31,5.746,1981,3
1981-04-30,4.461,1981,4
1981-05-31,3.862,1981,5
1981-06-30,3.676,1981,6
1981-07-31,4.324,1981,7
1981-08-31,3.957,1981,8
1981-09-30,4.016,1981,9
1981-10-31,4.629,1981,10
1981-11-30,4.969,1981,11
1981-12-31,6.185,1981,12
1982-01-31,6.836,1982,1
1982-02-28,6.527,1982,2
1982-03-31,6.704,1982,3
1982-04-30,6.181,1982,4
1982-05-31,4.032,1982,5
1982-06-30,4.032,1982,6
1982-07-31,3.951,1982,7
1982-08-31,3.632,1982,8
1982-09-30,4.502,1982,9
1982-10-31,4.674,1982,10
1982-11-30,5.111,1982,11
1982-12-31,5.612,1982,12
1983-01-31,6.778,1983,1
1983-02-28,6.471,1983,2
1983-03-31,5.004,1983,3
1983-04-30,4.345,1983,4
1983-05-31,3.563,1983,5
1983-06-30,3.289,1983,6
1983-07-31,3.850,1983,7
1983-08-31,3.828,1983,8
1983-09-30,4.437,1983,9
1983-10-31,4.708,1983,10
1983-11-30,4.480,1983,11
1983-12-31,4.850,1983,12
1984-01-31,5.089,1984,1
1984-02-29,5.231,1984,2
1984-03-31,4.298,1984,3
1984-04-30,4.072,1984,4
1984-05-31,3.501,1984,5
1984-06-30,3.139,1984,6
1984-07-31,3.876,1984,7
1984-08-31,4.177,1984,8
1984-09-30,3.445,1984,9
1984-10-31,3.619,1984,10
1984-11-30,3.749,1984,11
1984-12-31,6.356,1984,12
1985-01-31,5.136,1985,1
1985-02-28,5.197,1985,2
1985-03-31,5.327,1985,3
1985-04-30,3.798,1985,4
1985-05-31,4.469,1985,5
1985-06-30,3.401,1985,6
1985-07-31,3.027,1985,7
1985-08-31,4.263,1985,8
1985-09-30,5.328,1985,9
1985-10-31,5.303,1985,10
1985-11-30,4.793,1985,11
1985-12-31,5.248,1985,12
1986-01-31,4.538,1986,1
1986-02-28,4.495,1986,2
1986-03-31,5.077,1986,3
1986-04-30,4.050,1986,4
1986-05-31,4.379,1986,5
1986-06-30,3.750,1986,6
1986-07-31,3.785,1986,7
1986-08-31,4.709,1986,8
1986-09-30,5.185,1986,9
1986-10-31,3.715,1986,10
1986-11-30,5.183,1986,11
1986-12-31,4.770,1986,12
1987-01-31,5.283,1987,1
1987-02-28,5.109,1987,2
1987-03-31,4.860,1987,3
1987-04-30,4.276,1987,4
1987-05-31,3.898,1987,5
1987-06-30,4.000,1987,6
1987-07-31,3.112,1987,7
1987-08-31,3.643,1987,8
1987-09-30,4.153,1987,9
1987-10-31,3.853,1987,10
1987-11-30,3.843,1987,11
1987-12-31,4.830,1987,12
1988-01-31,5.190,1988,1
1988-02-29,5.595,1988,2
1988-03-31,5.269,1988,3
1988-04-30,4.599,1988,4
1988-05-31,3.425,1988,5
1988-06-30,3.210,1988,6
1988-07-31,3.305,1988,7
1988-08-31,3.889,1988,8
