# Monthly mean ERA5 temperature for PABR, lon/lat = 203.25/71.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:47.136017
Time,t2m,year,month
1981-01-31,-16.319,1981,1
1981-02-28,-24.844,1981,2
1981-03-31,-22.348,1981,3
1981-04-30,-15.596,1981,4
1981-05-31,-3.088,1981,5
1981-06-30,2.845,1981,6
1981-07-31,5.398,1981,7
1981-08-31,1.840,1981,8
1981-09-30,-2.179,1981,9
1981-10-31,-8.757,1981,10
1981-11-30,-18.085,1981,11
1981-12-31,-22.785,1981,12
1982-01-31,-24.770,1982,1
1982-02-28,-21.866,1982,2
1982-03-31,-23.495,1982,3
1982-04-30,-17.423,1982,4
1982-05-31,-7.242,1982,5
1982-06-30,2.037,1982,6
1982-07-31,4.105,1982,7
1982-08-31,3.748,1982,8
1982-09-30,-0.925,1982,9
1982-10-31,-13.512,1982,10
1982-11-30,-23.406,1982,11
1982-12-31,-23.102,1982,12
1983-01-31,-28.297,1983,1
1983-02-28,-25.630,1983,2
1983-03-31,-24.968,1983,3
1983-04-30,-16.118,1983,4
1983-05-31,-8.095,1983,5
1983-06-30,2.173,1983,6
1983-07-31,4.035,1983,7
1983-08-31,2.902,1983,8
1983-09-30,-4.169,1983,9
1983-10-31,-14.323,1983,10
1983-11-30,-17.846,1983,11
1983-12-31,-18.222,1983,12
1984-01-31,-26.385,1984,1
1984-02-29,-36.016,1984,2
1984-03-31,-27.438,1984,3
1984-04-30,-22.974,1984,4
1984-05-31,-7.865,1984,5
1984-06-30,2.825,1984,6
1984-07-31,6.106,1984,7
1984-08-31,3.178,1984,8
1984-09-30,0.900,1984,9
1984-10-31,-8.247,1984,10
1984-11-30,-22.119,1984,11
1984-12-31,-26.068,1984,12
1985-01-31,-21.556,1985,1
1985-02-28,-27.230,1985,2
1985-03-31,-24.314,1985,3
1985-04-30,-21.630,1985,4
1985-05-31,-5.103,1985,5
1985-06-30,2.333,1985,6
1985-07-31,4.202,1985,7
1985-08-31,3.574,1985,8
1985-09-30,-2.072,1985,9
1985-10-31,-12.414,1985,10
1985-11-30,-16.311,1985,11
1985-12-31,-21.642,1985,12
1986-01-31,-26.762,1986,1
1986-02-28,-22.740,1986,2
1986-03-31,-27.895,1986,3
1986-04-30,-19.723,1986,4
1986-05-31,-5.961,1986,5
1986-06-30,2.396,1986,6
1986-07-31,5.944,1986,7
1986-08-31,4.038,1986,8
1986-09-30,2.358,1986,9
1986-10-31,-8.820,1986,10
1986-11-30,-17.459,1986,11
1986-12-31,-21.751,1986,12
1987-01-31,-24.221,1987,1
1987-02-28,-28.580,1987,2
1987-03-31,-24.156,1987,3
1987-04-30,-19.835,1987,4
1987-05-31,-5.861,1987,5
