# Monthly mean ERA5 wind speed for PAFA, lon/lat = 212.0/64.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 20:11:07.127355
Time,wsp10,year,month
1981-01-31,2.886,1981,1
1981-02-28,2.175,1981,2
1981-03-31,2.657,1981,3
1981-04-30,2.620,1981,4
1981-05-31,2.243,1981,5
1981-06-30,2.493,1981,6
1981-07-31,2.339,1981,7
1981-08-31,2.276,1981,8
1981-09-30,1.900,1981,9
1981-10-31,2.001,1981,10
1981-11-30,2.374,1981,11
1981-12-31,2.136,1981,12
1982-01-31,3.136,1982,1
1982-02-28,2.096,1982,2
1982-03-31,2.227,1982,3
1982-04-30,2.044,1982,4
1982-05-31,1.990,1982,5
1982-06-30,1.944,1982,6
1982-07-31,2.155,1982,7
1982-08-31,1.885,1982,8
1982-09-30,2.249,1982,9
1982-10-31,2.142,1982,10
1982-11-30,2.271,1982,11
1982-12-31,2.788,1982,12
1983-01-31,2.692,1983,1
1983-02-28,2.413,1983,2
1983-03-31,2.446,1983,3
1983-04-30,2.083,1983,4
1983-05-31,2.643,1983,5
1983-06-30,2.289,1983,6
1983-07-31,1.970,1983,7
1983-08-31,2.023,1983,8
1983-09-30,2.240,1983,9
1983-10-31,2.312,1983,10
1983-11-30,2.657,1983,11
1983-12-31,2.581,1983,12
1984-01-31,2.136,1984,1
1984-02-29,1.804,1984,2
1984-03-31,2.206,1984,3
1984-04-30,1.906,1984,4
1984-05-31,1.883,1984,5
1984-06-30,1.563,1984,6
1984-07-31,2.361,1984,7
1984-08-31,2.181,1984,8
1984-09-30,2.085,1984,9
1984-10-31,2.427,1984,10
1984-11-30,2.226,1984,11
1984-12-31,2.525,1984,12
1985-01-31,2.759,1985,1
1985-02-28,2.247,1985,2
1985-03-31,2.154,1985,3
1985-04-30,2.136,1985,4
1985-05-31,2.307,1985,5
1985-06-30,2.256,1985,6
1985-07-31,2.256,1985,7
1985-08-31,2.192,1985,8
1985-09-30,2.414,1985,9
1985-10-31,1.823,1985,10
1985-11-30,2.466,1985,11
1985-12-31,2.602,1985,12
1986-01-31,2.819,1986,1
1986-02-28,2.488,1986,2
1986-03-31,2.250,1986,3
1986-04-30,2.244,1986,4
1986-05-31,2.252,1986,5
1986-06-30,2.043,1986,6
1986-07-31,2.300,1986,7
1986-08-31,2.058,1986,8
1986-09-30,2.027,1986,9
1986-10-31,2.330,1986,10
1986-11-30,2.508,1986,11
1986-12-31,2.574,1986,12
1987-01-31,2.644,1987,1
1987-02-28,2.410,1987,2
1987-03-31,2.394,1987,3
1987-04-30,2.209,1987,4
1987-05-31,2.338,1987,5
1987-06-30,2.591,1987,6
1987-07-31,2.220,1987,7
1987-08-31,2.392,1987,8
1987-09-30,2.329,1987,9
1987-10-31,2.221,1987,10
1987-11-30,2.223,1987,11
1987-12-31,2.054,1987,12
1988-01-31,2.650,1988,1
1988-02-29,3.268,1988,2
1988-03-31,2.632,1988,3
1988-04-30,2.430,1988,4
1988-05-31,2.038,1988,5
1988-06-30,1.967,1988,6
1988-07-31,2.102,1988,7
1988-08-31,2.229,1988,8
1988-09-30,1.905,1988,9
