# Monthly mean ERA5 wind speed for PABR, lon/lat = 203.25/71.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 13:49:56.561677
Time,wsp10,year,month
1981-01-31,8.437,1981,1
1981-02-28,8.095,1981,2
1981-03-31,8.739,1981,3
1981-04-30,6.339,1981,4
1981-05-31,7.277,1981,5
1981-06-30,7.035,1981,6
1981-07-31,7.586,1981,7
1981-08-31,6.385,1981,8
1981-09-30,6.834,1981,9
1981-10-31,7.040,1981,10
1981-11-30,7.899,1981,11
1981-12-31,7.202,1981,12
1982-01-31,8.630,1982,1
1982-02-28,8.622,1982,2
1982-03-31,7.691,1982,3
1982-04-30,6.981,1982,4
1982-05-31,8.344,1982,5
1982-06-30,7.737,1982,6
1982-07-31,7.191,1982,7
1982-08-31,6.962,1982,8
1982-09-30,7.981,1982,9
1982-10-31,6.909,1982,10
1982-11-30,9.323,1982,11
1982-12-31,9.927,1982,12
1983-01-31,7.957,1983,1
1983-02-28,8.809,1983,2
1983-03-31,8.213,1983,3
1983-04-30,9.798,1983,4
1983-05-31,7.871,1983,5
1983-06-30,8.164,1983,6
1983-07-31,6.308,1983,7
1983-08-31,7.824,1983,8
1983-09-30,7.291,1983,9
1983-10-31,6.397,1983,10
1983-11-30,7.465,1983,11
1983-12-31,8.928,1983,12
1984-01-31,7.222,1984,1
1984-02-29,6.019,1984,2
1984-03-31,7.371,1984,3
1984-04-30,6.070,1984,4
1984-05-31,7.719,1984,5
1984-06-30,6.267,1984,6
1984-07-31,6.190,1984,7
1984-08-31,6.544,1984,8
1984-09-30,6.719,1984,9
1984-10-31,8.302,1984,10
1984-11-30,7.627,1984,11
1984-12-31,7.727,1984,12
1985-01-31,9.215,1985,1
1985-02-28,6.733,1985,2
1985-03-31,6.790,1985,3
1985-04-30,7.715,1985,4
1985-05-31,7.093,1985,5
1985-06-30,7.312,1985,6
1985-07-31,7.105,1985,7
1985-08-31,6.580,1985,8
1985-09-30,7.680,1985,9
1985-10-31,7.189,1985,10
1985-11-30,7.860,1985,11
1985-12-31,8.464,1985,12
1986-01-31,10.127,1986,1
1986-02-28,7.203,1986,2
1986-03-31,6.663,1986,3
1986-04-30,7.011,1986,4
1986-05-31,6.393,1986,5
1986-06-30,6.981,1986,6
1986-07-31,7.028,1986,7
1986-08-31,7.501,1986,8
1986-09-30,8.493,1986,9
1986-10-31,6.453,1986,10
1986-11-30,6.436,1986,11
1986-12-31,8.094,1986,12
1987-01-31,7.695,1987,1
1987-02-28,7.564,1987,2
1987-03-31,7.210,1987,3
1987-04-30,8.148,1987,4
1987-05-31,8.058,1987,5
1987-06-30,8.027,1987,6
1987-07-31,7.288,1987,7
1987-08-31,7.791,1987,8
1987-09-30,7.838,1987,9
1987-10-31,6.494,1987,10
1987-11-30,8.445,1987,11
1987-12-31,7.360,1987,12
1988-01-31,8.289,1988,1
1988-02-29,7.340,1988,2
1988-03-31,6.525,1988,3
1988-04-30,7.929,1988,4
1988-05-31,9.735,1988,5
1988-06-30,6.618,1988,6
1988-07-31,6.633,1988,7
1988-08-31,7.035,1988,8
1988-09-30,7.068,1988,9
1988-10-31,6.823,1988,10
1988-11-30,7.444,1988,11
1988-12-31,6.876,1988,12
1989-01-31,6.802,1989,1
1989-02-28,10.918,1989,2
1989-03-31,7.390,1989,3
1989-04-30,7.971,1989,4
1989-05-31,6.474,1989,5
1989-06-30,6.102,1989,6
1989-07-31,6.561,1989,7
1989-08-31,7.161,1989,8
1989-09-30,7.019,1989,9
1989-10-31,7.472,1989,10
1989-11-30,6.786,1989,11
1989-12-31,8.815,1989,12
1990-01-31,6.384,1990,1
1990-02-28,7.337,1990,2
1990-03-31,6.352,1990,3
1990-04-30,7.871,1990,4
1990-05-31,6.846,1990,5
1990-06-30,5.726,1990,6
1990-07-31,6.775,1990,7
1990-08-31,8.184,1990,8
1990-09-30,8.085,1990,9
1990-10-31,7.544,1990,10
1990-11-30,7.631,1990,11
1990-12-31,6.997,1990,12
1991-01-31,8.387,1991,1
1991-02-28,7.480,1991,2
1991-03-31,6.706,1991,3
1991-04-30,6.779,1991,4
1991-05-31,7.756,1991,5
1991-06-30,7.239,1991,6
1991-07-31,6.040,1991,7
1991-08-31,7.310,1991,8
1991-09-30,7.825,1991,9
1991-10-31,7.067,1991,10
1991-11-30,6.606,1991,11
1991-12-31,7.017,1991,12
1992-01-31,8.674,1992,1
1992-02-29,6.368,1992,2
1992-03-31,6.419,1992,3
1992-04-30,8.197,1992,4
1992-05-31,7.510,1992,5
1992-06-30,7.009,1992,6
1992-07-31,6.819,1992,7
1992-08-31,7.165,1992,8
1992-09-30,6.345,1992,9
1992-10-31,7.129,1992,10
1992-11-30,7.789,1992,11
1992-12-31,8.625,1992,12
1993-01-31,8.628,1993,1
1993-02-28,8.891,1993,2
1993-03-31,7.010,1993,3
1993-04-30,7.838,1993,4
1993-05-31,9.035,1993,5
1993-06-30,6.152,1993,6
1993-07-31,7.108,1993,7
1993-08-31,6.256,1993,8
1993-09-30,9.161,1993,9
1993-10-31,9.073,1993,10
1993-11-30,6.719,1993,11
1993-12-31,9.083,1993,12
1994-01-31,9.762,1994,1
1994-02-28,7.657,1994,2
1994-03-31,6.847,1994,3
1994-04-30,6.355,1994,4
1994-05-31,9.230,1994,5
1994-06-30,5.909,1994,6
1994-07-31,6.682,1994,7
1994-08-31,7.069,1994,8
1994-09-30,7.352,1994,9
1994-10-31,6.439,1994,10
1994-11-30,8.023,1994,11
1994-12-31,7.728,1994,12
1995-01-31,7.051,1995,1
1995-02-28,7.752,1995,2
1995-03-31,8.141,1995,3
1995-04-30,8.344,1995,4
1995-05-31,8.378,1995,5
1995-06-30,6.578,1995,6
1995-07-31,6.680,1995,7
1995-08-31,6.232,1995,8
1995-09-30,7.535,1995,9
1995-10-31,7.486,1995,10
1995-11-30,6.972,1995,11
1995-12-31,8.919,1995,12
1996-01-31,6.566,1996,1
1996-02-29,8.787,1996,2
1996-03-31,7.671,1996,3
1996-04-30,6.741,1996,4
1996-05-31,6.747,1996,5
1996-06-30,6.672,1996,6
1996-07-31,7.340,1996,7
1996-08-31,7.779,1996,8
1996-09-30,7.313,1996,9
1996-10-31,6.849,1996,10
1996-11-30,7.440,1996,11
1996-12-31,8.331,1996,12
1997-01-31,7.143,1997,1
1997-02-28,6.726,1997,2
1997-03-31,6.672,1997,3
1997-04-30,7.298,1997,4
1997-05-31,7.218,1997,5
1997-06-30,5.957,1997,6
1997-07-31,6.239,1997,7
1997-08-31,7.754,1997,8
1997-09-30,7.734,1997,9
1997-10-31,6.779,1997,10
1997-11-30,7.887,1997,11
1997-12-31,7.814,1997,12
1998-01-31,8.215,1998,1
1998-02-28,8.328,1998,2
1998-03-31,7.616,1998,3
1998-04-30,8.111,1998,4
1998-05-31,9.219,1998,5
1998-06-30,6.736,1998,6
1998-07-31,7.542,1998,7
1998-08-31,7.115,1998,8
1998-09-30,7.580,1998,9
1998-10-31,8.649,1998,10
1998-11-30,7.936,1998,11
1998-12-31,6.356,1998,12
1999-01-31,6.821,1999,1
1999-02-28,6.525,1999,2
1999-03-31,6.431,1999,3
1999-04-30,8.132,1999,4
1999-05-31,7.439,1999,5
1999-06-30,6.518,1999,6
1999-07-31,6.814,1999,7
1999-08-31,7.822,1999,8
1999-09-30,6.604,1999,9
1999-10-31,7.644,1999,10
1999-11-30,5.884,1999,11
1999-12-31,7.270,1999,12
2000-01-31,7.598,2000,1
2000-02-29,7.237,2000,2
2000-03-31,9.818,2000,3
2000-04-30,7.799,2000,4
2000-05-31,5.874,2000,5
2000-06-30,6.509,2000,6
2000-07-31,7.278,2000,7
2000-08-31,8.075,2000,8
2000-09-30,7.151,2000,9
2000-10-31,7.030,2000,10
2000-11-30,8.166,2000,11
2000-12-31,10.241,2000,12
2001-01-31,9.713,2001,1
2001-02-28,9.084,2001,2
2001-03-31,8.432,2001,3
2001-04-30,8.512,2001,4
2001-05-31,5.895,2001,5
2001-06-30,7.067,2001,6
2001-07-31,6.906,2001,7
2001-08-31,7.789,2001,8
2001-09-30,6.568,2001,9
2001-10-31,6.465,2001,10
2001-11-30,7.178,2001,11
2001-12-31,6.335,2001,12
2002-01-31,6.578,2002,1
2002-02-28,8.102,2002,2
2002-03-31,6.875,2002,3
2002-04-30,8.830,2002,4
2002-05-31,8.885,2002,5
2002-06-30,6.910,2002,6
2002-07-31,6.584,2002,7
2002-08-31,6.916,2002,8
2002-09-30,6.535,2002,9
2002-10-31,8.182,2002,10
2002-11-30,9.412,2002,11
2002-12-31,8.438,2002,12
2003-01-31,7.950,2003,1
2003-02-28,8.049,2003,2
2003-03-31,6.537,2003,3
2003-04-30,7.128,2003,4
2003-05-31,8.254,2003,5
2003-06-30,7.267,2003,6
2003-07-31,7.963,2003,7
2003-08-31,7.216,2003,8
2003-09-30,7.563,2003,9
2003-10-31,8.153,2003,10
2003-11-30,6.881,2003,11
2003-12-31,9.195,2003,12
2004-01-31,8.843,2004,1
2004-02-29,7.847,2004,2
2004-03-31,8.589,2004,3
2004-04-30,7.307,2004,4
2004-05-31,8.436,2004,5
2004-06-30,6.899,2004,6
2004-07-31,7.228,2004,7
2004-08-31,6.994,2004,8
2004-09-30,7.631,2004,9
2004-10-31,8.161,2004,10
2004-11-30,8.607,2004,11
2004-12-31,8.126,2004,12
2005-01-31,7.630,2005,1
2005-02-28,8.099,2005,2
2005-03-31,9.622,2005,3
2005-04-30,8.060,2005,4
2005-05-31,7.653,2005,5
2005-06-30,8.036,2005,6
2005-07-31,7.395,2005,7
2005-08-31,7.056,2005,8
2005-09-30,9.689,2005,9
2005-10-31,7.592,2005,10
2005-11-30,5.831,2005,11
2005-12-31,7.136,2005,12
2006-01-31,5.842,2006,1
2006-02-28,9.816,2006,2
2006-03-31,6.718,2006,3
2006-04-30,6.849,2006,4
2006-05-31,7.223,2006,5
2006-06-30,6.092,2006,6
2006-07-31,6.874,2006,7
2006-08-31,5.943,2006,8
2006-09-30,6.859,2006,9
2006-10-31,8.649,2006,10
2006-11-30,7.592,2006,11
2006-12-31,7.414,2006,12
2007-01-31,6.840,2007,1
2007-02-28,8.155,2007,2
2007-03-31,6.660,2007,3
2007-04-30,8.746,2007,4
2007-05-31,6.370,2007,5
2007-06-30,7.937,2007,6
2007-07-31,7.022,2007,7
2007-08-31,6.376,2007,8
2007-09-30,8.868,2007,9
2007-10-31,8.898,2007,10
2007-11-30,8.732,2007,11
2007-12-31,7.842,2007,12
2008-01-31,8.450,2008,1
2008-02-29,6.714,2008,2
2008-03-31,7.536,2008,3
2008-04-30,8.021,2008,4
2008-05-31,8.014,2008,5
2008-06-30,5.843,2008,6
2008-07-31,6.928,2008,7
2008-08-31,6.147,2008,8
2008-09-30,6.275,2008,9
2008-10-31,7.397,2008,10
2008-11-30,8.490,2008,11
2008-12-31,7.963,2008,12
2009-01-31,7.041,2009,1
2009-02-28,8.322,2009,2
2009-03-31,8.669,2009,3
2009-04-30,7.921,2009,4
2009-05-31,6.591,2009,5
2009-06-30,7.987,2009,6
2009-07-31,7.510,2009,7
2009-08-31,7.644,2009,8
2009-09-30,7.518,2009,9
2009-10-31,7.640,2009,10
2009-11-30,6.625,2009,11
2009-12-31,8.080,2009,12
2010-01-31,7.171,2010,1
2010-02-28,8.887,2010,2
2010-03-31,7.618,2010,3
2010-04-30,7.530,2010,4
2010-05-31,8.080,2010,5
2010-06-30,8.301,2010,6
2010-07-31,6.967,2010,7
2010-08-31,7.566,2010,8
2010-09-30,7.027,2010,9
2010-10-31,9.068,2010,10
2010-11-30,7.700,2010,11
2010-12-31,7.495,2010,12
2011-01-31,7.335,2011,1
2011-02-28,9.779,2011,2
2011-03-31,5.933,2011,3
2011-04-30,8.121,2011,4
2011-05-31,6.130,2011,5
2011-06-30,8.317,2011,6
2011-07-31,7.105,2011,7
2011-08-31,6.708,2011,8
2011-09-30,7.186,2011,9
2011-10-31,8.696,2011,10
2011-11-30,7.362,2011,11
2011-12-31,8.519,2011,12
2012-01-31,7.404,2012,1
2012-02-29,6.938,2012,2
2012-03-31,6.642,2012,3
2012-04-30,7.180,2012,4
2012-05-31,6.592,2012,5
2012-06-30,7.816,2012,6
2012-07-31,6.411,2012,7
2012-08-31,7.490,2012,8
2012-09-30,7.677,2012,9
2012-10-31,7.480,2012,10
2012-11-30,6.110,2012,11
2012-12-31,7.312,2012,12
2013-01-31,10.199,2013,1
2013-02-28,8.307,2013,2
2013-03-31,9.209,2013,3
2013-04-30,7.580,2013,4
2013-05-31,7.582,2013,5
2013-06-30,6.622,2013,6
