# Monthly mean ERA5 wind speed for PANC, lon/lat = 210.0/61.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 13:49:55.684048
Time,wsp10,year,month
1981-01-31,3.668,1981,1
1981-02-28,2.963,1981,2
1981-03-31,3.515,1981,3
1981-04-30,2.613,1981,4
1981-05-31,2.504,1981,5
1981-06-30,3.081,1981,6
1981-07-31,2.874,1981,7
1981-08-31,3.029,1981,8
1981-09-30,3.267,1981,9
1981-10-31,3.308,1981,10
1981-11-30,3.287,1981,11
1981-12-31,3.421,1981,12
1982-01-31,3.105,1982,1
1982-02-28,4.127,1982,2
1982-03-31,3.210,1982,3
1982-04-30,3.855,1982,4
1982-05-31,2.565,1982,5
1982-06-30,3.086,1982,6
1982-07-31,2.902,1982,7
1982-08-31,2.417,1982,8
1982-09-30,3.420,1982,9
1982-10-31,3.767,1982,10
1982-11-30,2.724,1982,11
1982-12-31,3.826,1982,12
1983-01-31,3.988,1983,1
1983-02-28,2.545,1983,2
1983-03-31,2.188,1983,3
1983-04-30,2.502,1983,4
1983-05-31,2.426,1983,5
1983-06-30,2.459,1983,6
1983-07-31,2.566,1983,7
1983-08-31,2.954,1983,8
1983-09-30,3.634,1983,9
1983-10-31,3.975,1983,10
1983-11-30,3.223,1983,11
1983-12-31,2.281,1983,12
1984-01-31,3.084,1984,1
1984-02-29,3.710,1984,2
1984-03-31,2.656,1984,3
1984-04-30,2.684,1984,4
1984-05-31,2.774,1984,5
1984-06-30,2.713,1984,6
1984-07-31,2.495,1984,7
1984-08-31,3.318,1984,8
1984-09-30,2.574,1984,9
1984-10-31,3.157,1984,10
1984-11-30,2.602,1984,11
1984-12-31,3.111,1984,12
1985-01-31,3.641,1985,1
1985-02-28,3.476,1985,2
1985-03-31,3.654,1985,3
1985-04-30,3.637,1985,4
1985-05-31,2.728,1985,5
1985-06-30,2.785,1985,6
1985-07-31,2.541,1985,7
1985-08-31,2.941,1985,8
1985-09-30,3.615,1985,9
1985-10-31,3.201,1985,10
1985-11-30,2.571,1985,11
1985-12-31,3.477,1985,12
1986-01-31,3.560,1986,1
1986-02-28,3.518,1986,2
1986-03-31,2.855,1986,3
1986-04-30,3.672,1986,4
1986-05-31,2.827,1986,5
1986-06-30,3.021,1986,6
1986-07-31,2.905,1986,7
1986-08-31,3.057,1986,8
1986-09-30,3.107,1986,9
1986-10-31,3.170,1986,10
1986-11-30,3.468,1986,11
1986-12-31,3.558,1986,12
1987-01-31,4.177,1987,1
1987-02-28,4.185,1987,2
1987-03-31,2.837,1987,3
1987-04-30,3.009,1987,4
1987-05-31,2.506,1987,5
1987-06-30,3.130,1987,6
1987-07-31,2.738,1987,7
1987-08-31,2.757,1987,8
1987-09-30,3.461,1987,9
1987-10-31,3.369,1987,10
1987-11-30,3.193,1987,11
1987-12-31,2.745,1987,12
1988-01-31,3.185,1988,1
1988-02-29,4.426,1988,2
1988-03-31,3.182,1988,3
1988-04-30,3.203,1988,4
1988-05-31,2.442,1988,5
1988-06-30,2.810,1988,6
