Time,precip_mm_ERA5_12km,BARROW AIRPORT,month
1970-01-01,8.692,1.778,Jan
1970-01-02,3.233,0.254,Jan
1970-01-03,0.011,0.254,Jan
1970-01-04,0.006,0.000,Jan
1970-01-05,0.000,0.254,Jan
1970-01-06,0.000,0.000,Jan
1970-01-07,0.000,0.000,Jan
1970-01-08,0.108,0.000,Jan
1970-01-09,0.015,0.000,Jan
1970-01-10,0.006,0.254,Jan
1970-01-11,0.024,0.254,Jan
1970-01-12,0.008,0.254,Jan
1970-01-13,0.001,0.000,Jan
1970-01-14,0.075,0.254,Jan
1970-01-15,0.107,0.254,Jan
1970-01-16,0.349,0.254,Jan
1970-01-17,0.645,0.254,Jan
1970-01-18,0.038,0.254,Jan
1970-01-19,0.103,0.254,Jan
1970-01-20,0.073,0.000,Jan
1970-01-21,0.016,0.000,Jan
1970-01-22,0.004,0.000,Jan
1970-01-23,0.024,0.000,Jan
1970-01-24,0.104,0.254,Jan
1970-01-25,0.430,0.254,Jan
1970-01-26,0.453,0.254,Jan
1970-01-27,0.589,0.254,Jan
1970-01-28,1.914,0.254,Jan
1970-01-29,0.412,0.254,Jan
1970-01-30,0.312,0.254,Jan
1970-01-31,0.421,0.254,Jan
1970-02-01,0.014,0.254,Feb
1970-02-02,0.081,0.254,Feb
1970-02-03,0.525,0.254,Feb
1970-02-04,0.147,0.254,Feb
1970-02-05,0.138,0.000,Feb
1970-02-06,0.046,0.000,Feb
1970-02-07,3.854,1.270,Feb
1970-02-08,1.050,0.254,Feb
1970-02-09,0.049,0.000,Feb
1970-02-10,0.019,0.000,Feb
1970-02-11,1.593,0.254,Feb
1970-02-12,2.267,0.508,Feb
1970-02-13,0.046,0.254,Feb
1970-02-14,0.000,0.000,Feb
1970-02-15,0.015,0.000,Feb
1970-02-16,0.050,0.254,Feb
1970-02-17,0.000,0.000,Feb
1970-02-18,0.000,0.000,Feb
1970-02-19,0.002,0.000,Feb
1970-02-20,0.078,0.000,Feb
1970-02-21,0.141,0.254,Feb
1970-02-22,0.043,0.254,Feb
1970-02-23,3.097,0.254,Feb
1970-02-24,1.417,0.254,Feb
1970-02-25,4.160,0.254,Feb
1970-02-26,0.025,0.254,Feb
1970-02-27,5.654,0.254,Feb
1970-02-28,2.243,0.508,Feb
1970-03-01,0.006,0.254,Mar
1970-03-02,0.073,0.254,Mar
1970-03-03,0.051,0.254,Mar
1970-03-04,0.332,0.000,Mar
1970-03-05,0.285,0.000,Mar
1970-03-06,1.919,0.000,Mar
1970-03-07,0.202,0.254,Mar
1970-03-08,2.794,0.254,Mar
1970-03-09,0.890,0.000,Mar
1970-03-10,0.071,0.254,Mar
1970-03-11,0.042,0.254,Mar
1970-03-12,0.005,0.254,Mar
1970-03-13,0.147,0.254,Mar
1970-03-14,0.059,0.254,Mar
1970-03-15,0.284,0.254,Mar
1970-03-16,0.104,0.254,Mar
1970-03-17,0.054,0.254,Mar
1970-03-18,0.131,0.254,Mar
1970-03-19,0.014,0.000,Mar
1970-03-20,0.003,0.000,Mar
1970-03-21,0.007,0.000,Mar
1970-03-22,0.042,0.254,Mar
1970-03-23,0.050,0.000,Mar
1970-03-24,0.016,0.508,Mar
1970-03-25,0.557,0.254,Mar
1970-03-26,0.513,0.508,Mar
1970-03-27,3.134,0.254,Mar
1970-03-28,0.008,0.000,Mar
1970-03-29,0.039,0.254,Mar
1970-03-30,0.597,0.000,Mar
1970-03-31,0.317,0.254,Mar
1970-04-01,0.509,0.254,Apr
1970-04-02,0.033,0.254,Apr
1970-04-03,0.404,0.000,Apr
1970-04-04,0.039,0.254,Apr
1970-04-05,0.029,0.000,Apr
1970-04-06,0.050,0.254,Apr
1970-04-07,0.154,0.254,Apr
1970-04-08,0.152,0.254,Apr
1970-04-09,0.070,0.254,Apr
1970-04-10,0.292,0.254,Apr
1970-04-11,1.072,0.254,Apr
1970-04-12,0.404,0.254,Apr
1970-04-13,4.038,0.254,Apr
1970-04-14,0.159,0.254,Apr
1970-04-15,0.052,0.254,Apr
1970-04-16,0.113,0.254,Apr
1970-04-17,0.135,0.254,Apr
1970-04-18,0.123,0.254,Apr
1970-04-19,0.041,0.254,Apr
1970-04-20,0.113,0.508,Apr
1970-04-21,0.303,1.524,Apr
1970-04-22,2.394,0.762,Apr
1970-04-23,0.941,0.254,Apr
1970-04-24,0.095,0.254,Apr
1970-04-25,0.139,0.000,Apr
1970-04-26,0.080,0.254,Apr
1970-04-27,0.208,0.254,Apr
1970-04-28,0.134,0.254,Apr
1970-04-29,0.146,0.254,Apr
1970-04-30,0.644,0.508,Apr
1970-05-01,0.343,1.778,May
1970-05-02,0.284,0.254,May
1970-05-03,0.154,0.254,May
1970-05-04,0.459,0.254,May
1970-05-05,0.691,0.254,May
1970-05-06,2.092,0.254,May
1970-05-07,0.436,0.254,May
1970-05-08,0.647,0.254,May
1970-05-09,0.459,0.254,May
1970-05-10,0.040,0.000,May
1970-05-11,0.002,0.254,May
1970-05-12,0.028,0.254,May
1970-05-13,0.006,0.254,May
1970-05-14,0.002,0.000,May
1970-05-15,0.000,0.000,May
1970-05-16,0.002,0.000,May
1970-05-17,0.015,0.254,May
1970-05-18,0.038,0.254,May
1970-05-19,0.003,0.254,May
1970-05-20,0.025,0.254,May
1970-05-21,0.066,0.254,May
1970-05-22,0.112,0.254,May
1970-05-23,0.048,0.254,May
1970-05-24,0.049,0.254,May
1970-05-25,0.120,0.254,May
1970-05-26,0.135,0.254,May
1970-05-27,0.160,0.254,May
1970-05-28,0.017,0.000,May
1970-05-29,0.092,0.000,May
1970-05-30,0.294,0.254,May
1970-05-31,0.249,0.254,May
1970-06-01,0.089,0.254,Jun
1970-06-02,0.035,0.254,Jun
1970-06-03,0.198,0.254,Jun
1970-06-04,0.004,0.254,Jun
1970-06-05,0.009,0.000,Jun
1970-06-06,0.743,0.254,Jun
1970-06-07,0.152,0.254,Jun
1970-06-08,0.043,0.254,Jun
1970-06-09,0.111,0.254,Jun
1970-06-10,0.054,0.254,Jun
1970-06-11,0.000,0.000,Jun
1970-06-12,0.024,0.254,Jun
1970-06-13,0.000,0.000,Jun
1970-06-14,0.010,0.254,Jun
1970-06-15,0.041,0.000,Jun
1970-06-16,0.583,0.254,Jun
1970-06-17,0.803,0.000,Jun
1970-06-18,0.044,0.000,Jun
1970-06-19,0.209,0.254,Jun
1970-06-20,0.050,0.000,Jun
1970-06-21,0.747,0.254,Jun
1970-06-22,0.544,0.254,Jun
1970-06-23,0.386,0.000,Jun
1970-06-24,0.265,0.000,Jun
1970-06-25,0.325,0.000,Jun
1970-06-26,0.412,0.000,Jun
1970-06-27,0.407,0.000,Jun
1970-06-28,0.563,0.254,Jun
1970-06-29,0.547,0.254,Jun
1970-06-30,3.984,0.000,Jun
1970-07-01,0.684,0.000,Jul
1970-07-02,0.388,0.254,Jul
1970-07-03,0.666,0.000,Jul
1970-07-04,0.354,0.000,Jul
1970-07-05,0.457,0.254,Jul
1970-07-06,0.181,0.000,Jul
1970-07-07,0.110,0.000,Jul
1970-07-08,0.041,0.000,Jul
1970-07-09,0.223,0.000,Jul
1970-07-10,0.358,1.778,Jul
1970-07-11,0.407,0.000,Jul
1970-07-12,0.715,0.254,Jul
1970-07-13,0.625,0.254,Jul
1970-07-14,0.382,0.000,Jul
1970-07-15,0.553,0.000,Jul
1970-07-16,0.774,0.000,Jul
1970-07-17,0.522,0.254,Jul
1970-07-18,0.553,0.254,Jul
1970-07-19,0.720,0.000,Jul
1970-07-20,0.540,0.000,Jul
1970-07-21,0.454,0.000,Jul
1970-07-22,0.323,0.000,Jul
1970-07-23,0.392,0.000,Jul
1970-07-24,0.477,0.000,Jul
1970-07-25,0.300,0.000,Jul
1970-07-26,0.259,0.000,Jul
1970-07-27,0.210,0.000,Jul
1970-07-28,0.415,0.508,Jul
1970-07-29,4.421,1.524,Jul
1970-07-30,1.200,0.000,Jul
1970-07-31,0.394,0.254,Jul
1970-08-01,1.216,0.508,Aug
1970-08-02,0.219,0.254,Aug
1970-08-03,0.926,0.000,Aug
1970-08-04,0.177,0.254,Aug
1970-08-05,0.736,1.778,Aug
1970-08-06,0.428,0.000,Aug
1970-08-07,0.306,0.000,Aug
1970-08-08,0.129,0.254,Aug
1970-08-09,0.197,0.254,Aug
1970-08-10,0.370,0.000,Aug
1970-08-11,0.289,0.000,Aug
1970-08-12,0.393,0.000,Aug
1970-08-13,0.528,0.000,Aug
1970-08-14,0.588,0.000,Aug
1970-08-15,0.640,0.254,Aug
1970-08-16,0.713,0.254,Aug
1970-08-17,0.446,0.000,Aug
1970-08-18,0.362,0.000,Aug
1970-08-19,1.161,0.254,Aug
1970-08-20,0.264,0.254,Aug
1970-08-21,5.035,1.524,Aug
1970-08-22,0.340,0.000,Aug
1970-08-23,0.141,0.508,Aug
1970-08-24,0.495,3.302,Aug
1970-08-25,3.839,0.254,Aug
1970-08-26,0.049,0.254,Aug
1970-08-27,0.344,0.762,Aug
1970-08-28,0.794,0.254,Aug
1970-08-29,0.007,0.254,Aug
1970-08-30,0.000,0.254,Aug
1970-08-31,0.086,0.254,Aug
1970-09-01,0.077,0.254,Sep
1970-09-02,0.017,0.254,Sep
1970-09-03,0.119,0.254,Sep
1970-09-04,0.558,0.254,Sep
1970-09-05,0.043,0.254,Sep
1970-09-06,0.106,0.254,Sep
1970-09-07,0.784,0.254,Sep
1970-09-08,0.114,0.000,Sep
1970-09-09,1.651,0.762,Sep
1970-09-10,0.509,0.254,Sep
1970-09-11,0.117,0.254,Sep
1970-09-12,5.429,0.254,Sep
1970-09-13,0.139,0.254,Sep
1970-09-14,0.147,0.254,Sep
1970-09-15,5.390,0.762,Sep
1970-09-16,2.317,0.254,Sep
1970-09-17,1.815,0.254,Sep
1970-09-18,0.454,0.254,Sep
1970-09-19,0.400,0.254,Sep
1970-09-20,2.876,0.508,Sep
1970-09-21,3.228,1.016,Sep
1970-09-22,0.014,0.254,Sep
1970-09-23,0.416,0.254,Sep
1970-09-24,0.188,0.254,Sep
