Time,precip_mm_ERA5_4km,BETHEL AIRPORT,month
1970-01-01,1.632,0.000,Jan
1970-01-02,0.000,0.254,Jan
1970-01-03,0.013,0.000,Jan
1970-01-04,0.000,0.000,Jan
1970-01-05,0.000,0.000,Jan
1970-01-06,0.000,0.000,Jan
1970-01-07,0.003,0.254,Jan
1970-01-08,1.856,0.508,Jan
1970-01-09,2.759,0.254,Jan
1970-01-10,4.816,0.762,Jan
1970-01-11,0.001,0.000,Jan
1970-01-12,0.000,0.000,Jan
1970-01-13,0.000,0.000,Jan
1970-01-14,0.172,0.000,Jan
1970-01-15,0.004,0.000,Jan
1970-01-16,0.000,0.000,Jan
1970-01-17,0.000,0.000,Jan
1970-01-18,0.000,0.254,Jan
1970-01-19,0.000,0.000,Jan
1970-01-20,0.001,0.000,Jan
1970-01-21,0.063,0.000,Jan
1970-01-22,0.001,0.000,Jan
1970-01-23,0.084,0.254,Jan
1970-01-24,0.073,0.254,Jan
1970-01-25,0.000,0.000,Jan
1970-01-26,0.000,0.000,Jan
1970-01-27,0.003,0.000,Jan
1970-01-28,0.005,0.000,Jan
1970-01-29,0.007,0.000,Jan
1970-01-30,0.129,0.000,Jan
1970-01-31,1.966,1.016,Jan
1970-02-01,0.040,0.000,Feb
1970-02-02,0.006,0.000,Feb
1970-02-03,0.003,0.000,Feb
1970-02-04,0.004,0.000,Feb
1970-02-05,0.005,0.000,Feb
1970-02-06,0.001,0.000,Feb
1970-02-07,0.001,0.000,Feb
1970-02-08,0.340,0.000,Feb
1970-02-09,0.090,0.000,Feb
1970-02-10,0.007,0.000,Feb
1970-02-11,0.162,0.508,Feb
1970-02-12,0.414,0.000,Feb
1970-02-13,0.310,0.254,Feb
1970-02-14,0.378,0.508,Feb
1970-02-15,4.312,2.032,Feb
1970-02-16,3.016,0.254,Feb
1970-02-17,1.394,0.254,Feb
1970-02-18,1.298,0.000,Feb
1970-02-19,1.262,0.000,Feb
1970-02-20,0.028,0.254,Feb
1970-02-21,0.162,0.000,Feb
1970-02-22,2.626,0.254,Feb
1970-02-23,7.818,0.762,Feb
1970-02-24,9.075,3.048,Feb
1970-02-25,3.681,0.254,Feb
1970-02-26,0.227,0.254,Feb
1970-02-27,0.256,0.254,Feb
1970-02-28,0.668,0.254,Feb
1970-03-01,5.933,3.048,Mar
1970-03-02,0.006,0.000,Mar
1970-03-03,0.000,0.000,Mar
1970-03-04,0.030,0.000,Mar
1970-03-05,1.450,0.254,Mar
1970-03-06,4.087,0.254,Mar
1970-03-07,0.900,0.254,Mar
1970-03-08,0.000,0.000,Mar
1970-03-09,0.365,0.000,Mar
1970-03-10,1.432,0.000,Mar
1970-03-11,1.705,0.254,Mar
1970-03-12,0.003,0.254,Mar
1970-03-13,0.071,0.000,Mar
1970-03-14,0.239,0.000,Mar
1970-03-15,0.009,0.000,Mar
1970-03-16,0.033,0.254,Mar
1970-03-17,1.138,0.254,Mar
1970-03-18,1.752,0.254,Mar
1970-03-19,4.286,0.762,Mar
1970-03-20,2.016,0.254,Mar
1970-03-21,0.077,0.000,Mar
1970-03-22,0.102,0.254,Mar
1970-03-23,1.136,1.016,Mar
1970-03-24,0.091,0.254,Mar
1970-03-25,5.464,2.540,Mar
