Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1970-01-01,5.317,21.336,Jan
1970-01-02,0.000,0.000,Jan
1970-01-03,0.000,0.000,Jan
1970-01-04,0.000,0.000,Jan
1970-01-05,0.293,0.000,Jan
1970-01-06,3.640,4.064,Jan
1970-01-07,1.638,3.302,Jan
1970-01-08,0.001,0.000,Jan
1970-01-09,0.002,0.000,Jan
1970-01-10,0.000,0.000,Jan
1970-01-11,0.000,0.000,Jan
1970-01-12,0.164,0.000,Jan
1970-01-13,0.009,0.000,Jan
1970-01-14,0.763,0.000,Jan
1970-01-15,3.938,6.604,Jan
1970-01-16,11.127,16.256,Jan
1970-01-17,1.449,0.508,Jan
1970-01-18,0.038,5.334,Jan
1970-01-19,5.899,0.254,Jan
1970-01-20,4.928,1.778,Jan
1970-01-21,2.176,0.254,Jan
1970-01-22,12.796,9.144,Jan
1970-01-23,0.009,0.000,Jan
1970-01-24,1.176,0.762,Jan
1970-01-25,12.910,0.254,Jan
1970-01-26,15.130,1.778,Jan
1970-01-27,5.907,7.366,Jan
1970-01-28,23.447,5.080,Jan
1970-01-29,1.923,0.000,Jan
1970-01-30,6.231,0.254,Jan
1970-01-31,2.828,5.842,Jan
1970-02-01,0.795,0.508,Feb
1970-02-02,26.985,11.938,Feb
1970-02-03,7.849,23.876,Feb
1970-02-04,19.357,7.112,Feb
1970-02-05,16.973,19.050,Feb
1970-02-06,18.300,6.858,Feb
1970-02-07,15.451,23.114,Feb
1970-02-08,10.200,9.144,Feb
1970-02-09,0.157,0.000,Feb
1970-02-10,3.718,10.414,Feb
1970-02-11,20.350,52.832,Feb
1970-02-12,1.184,2.794,Feb
1970-02-13,0.096,0.000,Feb
1970-02-14,0.203,0.000,Feb
1970-02-15,6.985,21.336,Feb
1970-02-16,0.121,3.810,Feb
1970-02-17,3.558,0.254,Feb
1970-02-18,12.434,8.128,Feb
1970-02-19,22.959,8.382,Feb
1970-02-20,12.968,20.828,Feb
1970-02-21,25.767,16.256,Feb
1970-02-22,9.630,10.160,Feb
1970-02-23,16.930,18.288,Feb
1970-02-24,30.745,18.288,Feb
1970-02-25,0.540,1.016,Feb
1970-02-26,0.038,0.254,Feb
1970-02-27,0.002,0.000,Feb
1970-02-28,0.009,0.000,Feb
1970-03-01,0.000,0.000,Mar
1970-03-02,0.006,0.254,Mar
1970-03-03,0.011,0.000,Mar
1970-03-04,8.773,0.762,Mar
1970-03-05,16.421,2.286,Mar
1970-03-06,22.776,15.748,Mar
1970-03-07,11.817,31.242,Mar
1970-03-08,25.147,18.288,Mar
1970-03-09,1.590,5.588,Mar
1970-03-10,7.463,2.286,Mar
1970-03-11,0.000,0.000,Mar
1970-03-12,0.000,0.000,Mar
1970-03-13,8.722,15.494,Mar
1970-03-14,11.250,13.970,Mar
1970-03-15,12.352,20.066,Mar
1970-03-16,0.473,0.508,Mar
1970-03-17,15.509,30.226,Mar
1970-03-18,18.175,17.780,Mar
1970-03-19,14.554,1.778,Mar
1970-03-20,8.454,9.144,Mar
1970-03-21,5.289,4.064,Mar
1970-03-22,4.989,0.508,Mar
1970-03-23,0.037,0.000,Mar
1970-03-24,8.829,4.826,Mar
1970-03-25,18.809,26.670,Mar
1970-03-26,42.055,45.720,Mar
1970-03-27,4.599,12.192,Mar
1970-03-28,23.798,11.938,Mar
1970-03-29,11.306,5.842,Mar
1970-03-30,40.561,16.510,Mar
1970-03-31,0.115,1.778,Mar
1970-04-01,0.000,0.000,Apr
1970-04-02,11.057,1.524,Apr
1970-04-03,10.024,25.146,Apr
1970-04-04,6.544,10.160,Apr
1970-04-05,2.530,5.334,Apr
1970-04-06,1.564,1.270,Apr
1970-04-07,4.292,0.000,Apr
1970-04-08,1.839,2.286,Apr
1970-04-09,0.987,0.508,Apr
1970-04-10,0.445,20.574,Apr
1970-04-11,0.376,6.096,Apr
1970-04-12,22.123,15.240,Apr
1970-04-13,26.947,67.056,Apr
1970-04-14,26.831,17.018,Apr
1970-04-15,3.026,4.572,Apr
1970-04-16,14.745,2.794,Apr
1970-04-17,10.632,3.048,Apr
1970-04-18,1.102,4.064,Apr
1970-04-19,0.000,0.254,Apr
1970-04-20,37.083,27.432,Apr
1970-04-21,21.479,37.592,Apr
1970-04-22,1.993,8.382,Apr
1970-04-23,5.731,0.254,Apr
1970-04-24,0.000,0.000,Apr
1970-04-25,0.000,0.000,Apr
1970-04-26,0.005,0.000,Apr
1970-04-27,2.567,1.016,Apr
1970-04-28,3.754,2.794,Apr
1970-04-29,14.550,27.178,Apr
1970-04-30,11.781,4.318,Apr
1970-05-01,10.145,7.874,May
1970-05-02,0.018,0.508,May
1970-05-03,6.027,0.000,May
1970-05-04,0.072,6.604,May
1970-05-05,8.701,14.732,May
1970-05-06,9.909,17.272,May
1970-05-07,5.293,4.826,May
