Time,precip_mm_ERA5_4km,EAGLE AIRPORT,month
1970-01-01,0.078,,Jan
1970-01-02,0.235,,Jan
1970-01-03,0.075,,Jan
1970-01-04,0.007,,Jan
1970-01-05,0.000,,Jan
1970-01-06,0.468,,Jan
1970-01-07,1.621,,Jan
1970-01-08,0.466,,Jan
1970-01-09,0.008,,Jan
1970-01-10,0.000,,Jan
1970-01-11,0.014,,Jan
1970-01-12,0.012,,Jan
1970-01-13,0.000,,Jan
1970-01-14,0.000,,Jan
1970-01-15,0.000,,Jan
1970-01-16,0.000,,Jan
1970-01-17,0.000,,Jan
1970-01-18,0.000,,Jan
1970-01-19,0.083,,Jan
1970-01-20,0.000,,Jan
1970-01-21,0.009,,Jan
1970-01-22,0.055,,Jan
1970-01-23,0.009,,Jan
1970-01-24,0.002,,Jan
1970-01-25,0.978,,Jan
1970-01-26,1.611,,Jan
1970-01-27,1.949,,Jan
1970-01-28,2.304,,Jan
1970-01-29,0.654,,Jan
1970-01-30,0.000,,Jan
1970-01-31,0.000,,Jan
1970-02-01,0.390,,Feb
1970-02-02,2.686,,Feb
1970-02-03,2.668,,Feb
1970-02-04,0.842,,Feb
1970-02-05,6.536,,Feb
1970-02-06,0.295,,Feb
1970-02-07,0.720,,Feb
1970-02-08,0.046,,Feb
1970-02-09,0.000,,Feb
1970-02-10,0.000,,Feb
1970-02-11,0.001,,Feb
1970-02-12,0.004,,Feb
1970-02-13,0.023,,Feb
1970-02-14,0.000,,Feb
1970-02-15,5.535,,Feb
1970-02-16,3.166,,Feb
1970-02-17,0.077,,Feb
1970-02-18,0.000,,Feb
1970-02-19,0.005,,Feb
1970-02-20,1.183,,Feb
1970-02-21,0.475,,Feb
1970-02-22,3.271,,Feb
1970-02-23,0.000,,Feb
1970-02-24,0.174,,Feb
1970-02-25,0.000,,Feb
1970-02-26,0.000,,Feb
1970-02-27,1.774,,Feb
1970-02-28,0.004,,Feb
1970-03-01,0.134,,Mar
1970-03-02,0.035,,Mar
1970-03-03,0.062,,Mar
1970-03-04,0.302,,Mar
1970-03-05,3.628,,Mar
1970-03-06,0.007,,Mar
1970-03-07,0.000,,Mar
1970-03-08,0.013,,Mar
1970-03-09,0.294,,Mar
1970-03-10,0.000,,Mar
1970-03-11,0.000,,Mar
1970-03-12,0.096,,Mar
1970-03-13,0.167,,Mar
1970-03-14,0.001,,Mar
1970-03-15,0.311,,Mar
1970-03-16,2.062,,Mar
1970-03-17,0.025,,Mar
1970-03-18,1.599,,Mar
1970-03-19,0.441,,Mar
1970-03-20,0.013,,Mar
1970-03-21,0.462,,Mar
1970-03-22,0.057,,Mar
1970-03-23,0.536,,Mar
1970-03-24,0.034,,Mar
1970-03-25,0.001,,Mar
1970-03-26,0.577,,Mar
1970-03-27,0.042,,Mar
1970-03-28,0.239,,Mar
1970-03-29,0.004,,Mar
1970-03-30,0.733,,Mar
1970-03-31,0.075,,Mar
1970-04-01,2.229,,Apr
1970-04-02,0.006,,Apr
1970-04-03,0.041,,Apr
1970-04-04,1.740,,Apr
1970-04-05,0.138,,Apr
1970-04-06,0.042,,Apr
1970-04-07,0.068,,Apr
1970-04-08,1.304,,Apr
1970-04-09,0.030,,Apr
1970-04-10,0.049,,Apr
1970-04-11,3.008,,Apr
1970-04-12,0.020,,Apr
1970-04-13,0.037,,Apr
1970-04-14,0.009,,Apr
1970-04-15,0.000,,Apr
1970-04-16,0.041,,Apr
1970-04-17,0.006,,Apr
1970-04-18,0.041,,Apr
1970-04-19,0.002,,Apr
1970-04-20,0.150,,Apr
1970-04-21,4.213,,Apr
1970-04-22,11.677,,Apr
1970-04-23,0.446,,Apr
1970-04-24,1.039,,Apr
1970-04-25,0.134,,Apr
1970-04-26,0.030,,Apr
1970-04-27,0.895,,Apr
1970-04-28,0.099,,Apr
1970-04-29,2.008,,Apr
1970-04-30,5.359,,Apr
1970-05-01,0.043,,May
1970-05-02,0.977,,May
1970-05-03,1.111,,May
1970-05-04,0.027,,May
1970-05-05,0.557,,May
1970-05-06,0.000,,May
1970-05-07,0.443,,May
1970-05-08,0.000,,May
1970-05-09,0.000,,May
1970-05-10,0.013,,May
1970-05-11,0.000,,May
1970-05-12,0.000,,May
1970-05-13,0.000,,May
1970-05-14,1.614,,May
1970-05-15,0.109,,May
1970-05-16,0.362,,May
1970-05-17,1.340,,May
1970-05-18,0.066,,May
1970-05-19,0.803,,May
1970-05-20,0.627,,May
1970-05-21,0.036,,May
1970-05-22,0.459,,May
1970-05-23,0.000,,May
1970-05-24,0.000,,May
1970-05-25,3.963,,May
1970-05-26,3.296,,May
1970-05-27,2.965,,May
1970-05-28,4.315,,May
1970-05-29,2.091,,May
1970-05-30,2.858,,May
1970-05-31,0.106,,May
1970-06-01,5.382,,Jun
1970-06-02,5.404,,Jun
1970-06-03,0.000,,Jun
1970-06-04,0.593,,Jun
1970-06-05,3.304,,Jun
1970-06-06,0.001,,Jun
1970-06-07,1.970,,Jun
1970-06-08,0.048,,Jun
1970-06-09,0.246,,Jun
1970-06-10,0.422,,Jun
1970-06-11,0.001,,Jun
1970-06-12,0.053,,Jun
1970-06-13,2.579,,Jun
1970-06-14,8.327,,Jun
1970-06-15,2.460,,Jun
1970-06-16,0.027,,Jun
1970-06-17,0.000,,Jun
1970-06-18,0.012,,Jun
1970-06-19,0.081,,Jun
1970-06-20,0.228,,Jun
1970-06-21,18.365,,Jun
1970-06-22,5.405,,Jun
1970-06-23,0.109,,Jun
1970-06-24,0.115,,Jun
1970-06-25,6.777,,Jun
1970-06-26,0.201,,Jun
1970-06-27,0.048,,Jun
1970-06-28,0.187,,Jun
1970-06-29,0.020,,Jun
1970-06-30,0.000,,Jun
1970-07-01,0.000,,Jul
1970-07-02,1.536,,Jul
1970-07-03,0.373,,Jul
1970-07-04,0.005,,Jul
1970-07-05,3.494,,Jul
1970-07-06,12.248,,Jul
1970-07-07,4.959,,Jul
1970-07-08,10.198,,Jul
1970-07-09,8.252,,Jul
1970-07-10,1.380,,Jul
1970-07-11,0.004,,Jul
1970-07-12,0.001,,Jul
1970-07-13,0.069,,Jul
1970-07-14,1.354,,Jul
1970-07-15,20.760,,Jul
1970-07-16,0.056,,Jul
1970-07-17,0.108,,Jul
1970-07-18,2.686,,Jul
1970-07-19,0.005,,Jul
1970-07-20,3.482,,Jul
1970-07-21,0.018,,Jul
1970-07-22,0.755,,Jul
1970-07-23,0.000,,Jul
1970-07-24,5.475,,Jul
1970-07-25,0.639,,Jul
1970-07-26,0.010,,Jul
1970-07-27,0.000,,Jul
1970-07-28,0.000,,Jul
1970-07-29,0.010,,Jul
1970-07-30,0.845,,Jul
1970-07-31,0.978,,Jul
1970-08-01,0.923,,Aug
1970-08-02,0.104,,Aug
1970-08-03,3.022,,Aug
1970-08-04,1.836,,Aug
1970-08-05,0.521,,Aug
1970-08-06,0.677,,Aug
1970-08-07,0.869,,Aug
1970-08-08,0.141,,Aug
1970-08-09,1.931,,Aug
1970-08-10,1.391,,Aug
1970-08-11,10.380,,Aug
1970-08-12,0.056,,Aug
1970-08-13,0.431,,Aug
1970-08-14,0.345,,Aug
1970-08-15,0.005,,Aug
1970-08-16,0.005,,Aug
1970-08-17,5.708,,Aug
1970-08-18,0.517,,Aug
1970-08-19,0.002,,Aug
1970-08-20,0.395,,Aug
1970-08-21,2.806,,Aug
1970-08-22,0.679,,Aug
1970-08-23,0.351,,Aug
1970-08-24,9.262,,Aug
1970-08-25,3.150,,Aug
1970-08-26,0.000,,Aug
1970-08-27,0.000,,Aug
1970-08-28,0.000,,Aug
1970-08-29,2.155,,Aug
1970-08-30,1.464,,Aug
1970-08-31,0.961,,Aug
1970-09-01,0.478,,Sep
1970-09-02,0.000,,Sep
1970-09-03,0.006,,Sep
1970-09-04,1.458,,Sep
1970-09-05,4.804,,Sep
1970-09-06,0.103,,Sep
1970-09-07,7.321,,Sep
1970-09-08,13.922,,Sep
1970-09-09,0.006,,Sep
1970-09-10,0.000,,Sep
1970-09-11,0.052,,Sep
1970-09-12,1.362,,Sep
1970-09-13,5.211,,Sep
1970-09-14,0.022,,Sep
1970-09-15,0.000,,Sep
1970-09-16,1.122,,Sep
1970-09-17,0.991,,Sep
1970-09-18,6.525,,Sep
1970-09-19,0.012,,Sep
1970-09-20,2.261,,Sep
1970-09-21,0.029,,Sep
1970-09-22,0.191,,Sep
1970-09-23,0.611,,Sep
1970-09-24,0.000,,Sep
1970-09-25,0.994,,Sep
1970-09-26,0.351,,Sep
1970-09-27,1.274,,Sep
1970-09-28,2.853,,Sep
1970-09-29,0.357,,Sep
1970-09-30,0.392,,Sep
1970-10-01,2.628,,Oct
1970-10-02,1.106,,Oct
1970-10-03,0.082,,Oct
1970-10-04,0.000,,Oct
1970-10-05,0.000,,Oct
1970-10-06,3.932,,Oct
1970-10-07,0.000,,Oct
1970-10-08,0.700,,Oct
1970-10-09,0.229,,Oct
1970-10-10,4.896,,Oct
1970-10-11,0.038,,Oct
1970-10-12,0.061,,Oct
1970-10-13,2.203,,Oct
1970-10-14,0.067,,Oct
1970-10-15,0.167,,Oct
1970-10-16,0.070,,Oct
1970-10-17,0.041,,Oct
1970-10-18,1.145,,Oct
1970-10-19,0.354,,Oct
1970-10-20,0.661,,Oct
1970-10-21,0.087,,Oct
1970-10-22,0.055,,Oct
1970-10-23,2.731,,Oct
1970-10-24,1.111,,Oct
1970-10-25,0.025,,Oct
1970-10-26,0.004,,Oct
1970-10-27,0.025,,Oct
1970-10-28,0.000,,Oct
1970-10-29,0.012,,Oct
1970-10-30,0.259,,Oct
1970-10-31,0.000,,Oct
1970-11-01,0.000,,Nov
1970-11-02,0.685,,Nov
1970-11-03,0.880,,Nov
1970-11-04,0.066,,Nov
1970-11-05,0.033,,Nov
1970-11-06,0.685,,Nov
1970-11-07,0.023,,Nov
1970-11-08,0.000,,Nov
1970-11-09,0.000,,Nov
1970-11-10,0.000,,Nov
1970-11-11,0.196,,Nov
1970-11-12,0.544,,Nov
1970-11-13,0.000,,Nov
1970-11-14,3.346,,Nov
1970-11-15,0.167,,Nov
1970-11-16,0.000,,Nov
1970-11-17,0.395,,Nov
1970-11-18,0.138,,Nov
1970-11-19,0.372,,Nov
1970-11-20,0.765,,Nov
1970-11-21,0.003,,Nov
1970-11-22,0.015,,Nov
1970-11-23,0.427,,Nov
1970-11-24,0.011,,Nov
1970-11-25,6.774,,Nov
1970-11-26,0.084,,Nov
1970-11-27,2.566,,Nov
1970-11-28,0.628,,Nov
1970-11-29,0.421,,Nov
1970-11-30,0.026,,Nov
1970-12-01,0.330,,Dec
1970-12-02,0.000,,Dec
1970-12-03,0.001,,Dec
1970-12-04,0.000,,Dec
1970-12-05,0.236,,Dec
1970-12-06,0.022,,Dec
1970-12-07,1.124,,Dec
1970-12-08,1.269,,Dec
1970-12-09,0.033,,Dec
1970-12-10,2.027,,Dec
1970-12-11,0.817,,Dec
1970-12-12,0.007,,Dec
1970-12-13,1.348,,Dec
1970-12-14,0.122,,Dec
1970-12-15,0.170,,Dec
1970-12-16,0.860,,Dec
1970-12-17,0.682,,Dec
1970-12-18,3.413,,Dec
1970-12-19,0.006,,Dec
1970-12-20,8.522,,Dec
1970-12-21,3.604,,Dec
1970-12-22,0.006,,Dec
1970-12-23,2.622,,Dec
1970-12-24,2.891,,Dec
1970-12-25,0.530,,Dec
1970-12-26,2.096,,Dec
1970-12-27,1.217,,Dec
1970-12-28,0.353,,Dec
1970-12-29,0.878,,Dec
1970-12-30,0.211,,Dec
1970-12-31,0.060,,Dec
1971-01-01,0.000,,Jan
1971-01-02,0.002,,Jan
1971-01-03,0.015,,Jan
1971-01-04,0.082,,Jan
1971-01-05,0.749,,Jan
1971-01-06,2.775,,Jan
1971-01-07,0.292,,Jan
1971-01-08,0.293,,Jan
1971-01-09,0.000,,Jan
1971-01-10,0.058,,Jan
1971-01-11,2.011,,Jan
1971-01-12,0.264,,Jan
1971-01-13,0.023,,Jan
1971-01-14,0.001,,Jan
1971-01-15,0.000,,Jan
1971-01-16,0.000,,Jan
1971-01-17,0.001,,Jan
1971-01-18,0.012,,Jan
1971-01-19,0.001,,Jan
1971-01-20,0.000,,Jan
1971-01-21,0.000,,Jan
1971-01-22,0.489,,Jan
1971-01-23,0.521,,Jan
1971-01-24,0.215,,Jan
1971-01-25,0.018,,Jan
1971-01-26,0.000,,Jan
1971-01-27,0.000,,Jan
1971-01-28,0.000,,Jan
1971-01-29,0.000,,Jan
1971-01-30,0.000,,Jan
1971-01-31,0.000,,Jan
1971-02-01,0.001,,Feb
1971-02-02,2.818,,Feb
1971-02-03,0.178,,Feb
1971-02-04,0.018,,Feb
1971-02-05,1.394,,Feb
1971-02-06,2.903,,Feb
1971-02-07,1.745,,Feb
1971-02-08,0.170,,Feb
1971-02-09,4.198,,Feb
1971-02-10,1.835,,Feb
1971-02-11,1.315,,Feb
1971-02-12,5.271,,Feb
1971-02-13,1.430,,Feb
1971-02-14,0.561,,Feb
1971-02-15,0.508,,Feb
1971-02-16,0.021,,Feb
1971-02-17,0.000,,Feb
1971-02-18,0.251,,Feb
1971-02-19,0.044,,Feb
1971-02-20,0.006,,Feb
1971-02-21,0.005,,Feb
1971-02-22,3.067,,Feb
1971-02-23,1.190,,Feb
1971-02-24,0.468,,Feb
1971-02-25,0.000,,Feb
1971-02-26,0.001,,Feb
1971-02-27,0.298,,Feb
1971-02-28,1.461,,Feb
1971-03-01,9.911,,Mar
1971-03-02,3.335,,Mar
1971-03-03,0.052,,Mar
1971-03-04,0.314,,Mar
1971-03-05,0.239,,Mar
1971-03-06,0.687,,Mar
1971-03-07,0.605,,Mar
1971-03-08,0.002,,Mar
1971-03-09,0.000,,Mar
1971-03-10,0.004,,Mar
1971-03-11,1.664,,Mar
1971-03-12,0.758,,Mar
1971-03-13,1.116,,Mar
1971-03-14,0.011,,Mar
1971-03-15,0.228,,Mar
1971-03-16,0.001,,Mar
1971-03-17,0.002,,Mar
1971-03-18,0.002,,Mar
1971-03-19,0.382,,Mar
1971-03-20,0.018,,Mar
1971-03-21,0.021,,Mar
1971-03-22,0.096,,Mar
1971-03-23,0.000,,Mar
1971-03-24,0.000,,Mar
1971-03-25,0.000,,Mar
1971-03-26,0.000,,Mar
1971-03-27,0.162,,Mar
1971-03-28,0.008,,Mar
1971-03-29,0.000,,Mar
1971-03-30,0.002,,Mar
1971-03-31,0.034,,Mar
1971-04-01,0.312,,Apr
1971-04-02,0.369,,Apr
1971-04-03,0.963,,Apr
1971-04-04,0.360,,Apr
1971-04-05,0.019,,Apr
1971-04-06,1.041,,Apr
1971-04-07,0.688,,Apr
1971-04-08,0.415,,Apr
1971-04-09,0.396,,Apr
1971-04-10,0.437,,Apr
1971-04-11,1.790,,Apr
1971-04-12,0.091,,Apr
1971-04-13,0.095,,Apr
1971-04-14,0.357,,Apr
1971-04-15,0.284,,Apr
1971-04-16,0.000,,Apr
1971-04-17,0.000,,Apr
1971-04-18,0.738,,Apr
1971-04-19,0.280,,Apr
1971-04-20,0.543,,Apr
1971-04-21,0.000,,Apr
1971-04-22,0.000,,Apr
1971-04-23,0.271,,Apr
1971-04-24,0.000,,Apr
1971-04-25,0.690,,Apr
1971-04-26,1.310,,Apr
1971-04-27,0.727,,Apr
1971-04-28,0.117,,Apr
1971-04-29,0.403,,Apr
1971-04-30,0.340,,Apr
1971-05-01,0.000,,May
1971-05-02,0.001,,May
1971-05-03,0.266,,May
1971-05-04,0.790,,May
1971-05-05,0.005,,May
1971-05-06,1.584,,May
1971-05-07,2.738,,May
1971-05-08,2.850,,May
1971-05-09,0.025,,May
1971-05-10,0.096,,May
1971-05-11,0.018,,May
1971-05-12,0.009,,May
1971-05-13,0.301,,May
1971-05-14,0.749,,May
1971-05-15,1.161,,May
1971-05-16,0.141,,May
1971-05-17,0.006,,May
1971-05-18,0.000,,May
1971-05-19,0.005,,May
1971-05-20,0.022,,May
1971-05-21,0.007,,May
1971-05-22,0.056,,May
1971-05-23,0.015,,May
1971-05-24,0.002,,May
1971-05-25,0.385,,May
1971-05-26,2.363,,May
1971-05-27,0.057,,May
1971-05-28,0.538,,May
1971-05-29,0.080,,May
1971-05-30,0.061,,May
1971-05-31,0.030,,May
1971-06-01,1.326,,Jun
1971-06-02,0.044,,Jun
1971-06-03,0.217,,Jun
1971-06-04,0.006,,Jun
1971-06-05,0.000,,Jun
1971-06-06,0.001,,Jun
1971-06-07,0.000,,Jun
1971-06-08,0.938,,Jun
1971-06-09,0.007,,Jun
1971-06-10,0.000,,Jun
1971-06-11,0.000,,Jun
1971-06-12,0.288,,Jun
1971-06-13,4.333,,Jun
1971-06-14,0.084,,Jun
1971-06-15,0.000,,Jun
1971-06-16,4.000,,Jun
1971-06-17,5.446,,Jun
1971-06-18,0.438,,Jun
1971-06-19,0.159,,Jun
1971-06-20,2.113,,Jun
1971-06-21,0.002,,Jun
1971-06-22,0.000,,Jun
1971-06-23,0.000,,Jun
1971-06-24,0.000,,Jun
1971-06-25,0.000,,Jun
1971-06-26,0.001,,Jun
1971-06-27,0.029,,Jun
1971-06-28,1.409,,Jun
1971-06-29,0.239,,Jun
1971-06-30,6.859,,Jun
1971-07-01,2.391,,Jul
1971-07-02,0.001,,Jul
1971-07-03,1.180,,Jul
1971-07-04,14.114,,Jul
1971-07-05,0.009,,Jul
1971-07-06,0.000,,Jul
1971-07-07,0.000,,Jul
1971-07-08,0.000,,Jul
1971-07-09,0.000,,Jul
1971-07-10,0.000,,Jul
1971-07-11,3.629,,Jul
1971-07-12,1.357,,Jul
1971-07-13,6.722,,Jul
1971-07-14,3.491,,Jul
1971-07-15,0.000,,Jul
1971-07-16,1.459,,Jul
1971-07-17,0.170,,Jul
1971-07-18,0.048,,Jul
1971-07-19,1.959,,Jul
1971-07-20,2.287,,Jul
1971-07-21,15.270,,Jul
1971-07-22,0.008,,Jul
1971-07-23,0.180,,Jul
1971-07-24,0.004,,Jul
1971-07-25,1.090,,Jul
1971-07-26,0.061,,Jul
1971-07-27,1.065,,Jul
1971-07-28,0.194,,Jul
1971-07-29,6.879,,Jul
1971-07-30,0.000,,Jul
1971-07-31,1.275,,Jul
1971-08-01,0.251,,Aug
1971-08-02,6.584,,Aug
1971-08-03,0.757,,Aug
1971-08-04,5.643,,Aug
1971-08-05,0.007,,Aug
1971-08-06,0.668,,Aug
1971-08-07,9.166,,Aug
1971-08-08,1.287,,Aug
1971-08-09,3.242,,Aug
1971-08-10,12.383,,Aug
1971-08-11,0.338,,Aug
1971-08-12,0.000,,Aug
1971-08-13,4.808,,Aug
1971-08-14,0.001,,Aug
1971-08-15,0.016,,Aug
1971-08-16,0.000,,Aug
1971-08-17,0.000,,Aug
1971-08-18,0.000,,Aug
1971-08-19,0.679,,Aug
1971-08-20,0.305,,Aug
1971-08-21,0.062,,Aug
1971-08-22,0.000,,Aug
1971-08-23,0.343,,Aug
