,precip_mm_ERA5_4km,FAIRBANKS INTL AP,month
1951-01-02,1.382,0.254,Jan
1951-01-03,0.187,0.254,Jan
1951-01-04,0.494,0.254,Jan
1951-01-05,0.392,0.000,Jan
1951-01-06,3.102,4.572,Jan
1951-01-07,0.648,7.112,Jan
1951-01-08,0.363,0.254,Jan
1951-01-09,1.416,0.254,Jan
1951-01-10,0.277,0.254,Jan
1951-01-11,1.249,0.762,Jan
1951-01-12,1.610,1.524,Jan
1951-01-13,0.804,0.254,Jan
1951-01-14,0.000,0.254,Jan
1951-01-15,0.000,0.254,Jan
1951-01-16,0.000,0.000,Jan
1951-01-17,0.002,0.254,Jan
1951-01-18,0.008,0.254,Jan
1951-01-19,0.000,0.000,Jan
1951-01-20,0.000,0.000,Jan
1951-01-21,0.000,0.000,Jan
1951-01-22,0.000,0.000,Jan
1951-01-23,0.000,0.000,Jan
1951-01-24,0.000,0.000,Jan
1951-01-25,0.000,0.254,Jan
1951-01-26,0.000,0.254,Jan
1951-01-27,0.000,0.000,Jan
1951-01-28,0.001,0.254,Jan
1951-01-29,0.001,0.254,Jan
1951-01-30,0.000,0.254,Jan
1951-01-31,0.027,0.000,Jan
1951-02-01,0.000,0.000,Feb
1951-02-02,0.000,0.000,Feb
1951-02-03,0.000,0.254,Feb
1951-02-04,0.000,0.254,Feb
1951-02-05,0.000,0.254,Feb
1951-02-06,0.000,0.000,Feb
1951-02-07,0.000,0.000,Feb
1951-02-08,0.000,0.254,Feb
1951-02-09,0.000,0.000,Feb
1951-02-10,0.878,2.540,Feb
1951-02-11,4.812,3.302,Feb
1951-02-12,0.617,0.254,Feb
1951-02-13,0.739,0.000,Feb
1951-02-14,6.246,6.858,Feb
1951-02-15,1.155,0.762,Feb
1951-02-16,0.210,0.254,Feb
1951-02-17,1.940,0.254,Feb
1951-02-18,0.291,0.762,Feb
1951-02-19,0.002,0.254,Feb
1951-02-20,0.163,0.254,Feb
1951-02-21,3.174,0.254,Feb
1951-02-22,0.974,0.254,Feb
1951-02-23,2.669,0.762,Feb
1951-02-24,0.008,0.000,Feb
1951-02-25,0.350,0.254,Feb
1951-02-26,0.167,1.524,Feb
1951-02-27,0.167,0.254,Feb
1951-02-28,5.229,6.096,Feb
1951-03-01,0.063,0.254,Mar
1951-03-02,0.008,0.254,Mar
1951-03-03,0.005,0.254,Mar
1951-03-04,0.000,0.000,Mar
1951-03-05,0.000,0.000,Mar
1951-03-06,0.000,0.000,Mar
1951-03-07,0.000,0.000,Mar
1951-03-08,0.000,0.000,Mar
1951-03-09,0.000,0.000,Mar
1951-03-10,0.000,0.000,Mar
1951-03-11,0.006,0.000,Mar
1951-03-12,0.024,0.000,Mar
1951-03-13,0.032,0.000,Mar
1951-03-14,0.004,0.254,Mar
1951-03-15,0.007,0.254,Mar
1951-03-16,0.000,0.254,Mar
1951-03-17,0.003,0.000,Mar
1951-03-18,0.374,0.000,Mar
1951-03-19,0.695,0.000,Mar
1951-03-20,6.520,1.778,Mar
1951-03-21,4.204,2.540,Mar
1951-03-22,0.221,0.254,Mar
1951-03-23,0.168,0.254,Mar
1951-03-24,0.832,0.254,Mar
1951-03-25,0.523,0.254,Mar
1951-03-26,0.528,0.000,Mar
1951-03-27,0.229,0.000,Mar
1951-03-28,0.098,0.254,Mar
1951-03-29,0.140,0.762,Mar
1951-03-30,0.000,0.000,Mar
1951-03-31,0.000,0.000,Mar
1951-04-01,0.000,0.000,Apr
1951-04-02,0.447,0.000,Apr
1951-04-03,7.622,0.000,Apr
1951-04-04,0.042,0.000,Apr
1951-04-05,0.017,0.000,Apr
1951-04-06,0.072,0.000,Apr
1951-04-07,0.017,0.000,Apr
1951-04-08,0.007,0.000,Apr
1951-04-09,0.144,0.254,Apr
1951-04-10,0.502,0.254,Apr
1951-04-11,0.765,0.254,Apr
1951-04-12,0.007,0.000,Apr
1951-04-13,0.002,0.000,Apr
1951-04-14,0.156,0.000,Apr
1951-04-15,0.000,0.000,Apr
1951-04-16,3.184,0.254,Apr
1951-04-17,0.912,0.254,Apr
