Time,precip_mm_ERA5_4km,FAIRBANKS INTL AP,month
1980-01-01,0.001,0.000,Jan
1980-01-02,0.002,0.000,Jan
1980-01-03,0.027,0.000,Jan
1980-01-04,0.001,0.000,Jan
1980-01-05,6.740,6.858,Jan
1980-01-06,2.626,0.762,Jan
1980-01-07,0.200,0.254,Jan
1980-01-08,0.248,0.254,Jan
1980-01-09,0.005,0.254,Jan
1980-01-10,0.000,0.254,Jan
1980-01-11,0.000,0.000,Jan
1980-01-12,0.000,0.000,Jan
1980-01-13,0.001,0.000,Jan
1980-01-14,0.004,0.000,Jan
1980-01-15,0.316,0.762,Jan
1980-01-16,0.076,0.254,Jan
1980-01-17,1.552,0.762,Jan
1980-01-18,0.000,0.000,Jan
1980-01-19,0.154,0.000,Jan
1980-01-20,0.250,0.000,Jan
1980-01-21,2.211,0.000,Jan
1980-01-22,4.864,1.016,Jan
1980-01-23,0.376,0.254,Jan
1980-01-24,0.026,0.000,Jan
1980-01-25,0.000,0.000,Jan
1980-01-26,0.000,0.000,Jan
1980-01-27,4.744,2.794,Jan
1980-01-28,0.347,0.254,Jan
1980-01-29,0.031,0.254,Jan
1980-01-30,0.000,0.000,Jan
1980-01-31,0.098,0.254,Jan
1980-02-01,8.615,4.318,Feb
1980-02-02,0.205,0.000,Feb
1980-02-03,0.282,0.000,Feb
1980-02-04,0.232,0.000,Feb
1980-02-05,0.013,0.000,Feb
1980-02-06,0.187,0.000,Feb
1980-02-07,0.603,0.000,Feb
1980-02-08,0.027,0.000,Feb
1980-02-09,0.062,0.000,Feb
1980-02-10,0.242,0.000,Feb
1980-02-11,0.284,0.000,Feb
1980-02-12,0.254,0.000,Feb
1980-02-13,0.000,0.000,Feb
1980-02-14,0.000,0.000,Feb
1980-02-15,0.008,0.000,Feb
1980-02-16,0.016,0.000,Feb
1980-02-17,0.027,0.000,Feb
1980-02-18,0.000,0.000,Feb
1980-02-19,0.000,0.000,Feb
1980-02-20,0.001,0.000,Feb
1980-02-21,0.005,0.000,Feb
1980-02-22,0.000,0.000,Feb
1980-02-23,0.074,0.000,Feb
1980-02-24,0.138,0.000,Feb
1980-02-25,0.053,0.000,Feb
1980-02-26,0.177,0.254,Feb
1980-02-27,0.193,1.016,Feb
1980-02-28,0.138,0.254,Feb
1980-02-29,0.000,0.000,Feb
1980-03-01,0.000,0.000,Mar
1980-03-02,0.000,0.000,Mar
1980-03-03,0.002,0.000,Mar
1980-03-04,0.010,0.000,Mar
1980-03-05,0.031,0.000,Mar
1980-03-06,0.163,0.000,Mar
1980-03-07,0.141,0.000,Mar
1980-03-08,0.871,0.508,Mar
1980-03-09,2.113,1.016,Mar
1980-03-10,1.327,1.016,Mar
1980-03-11,0.939,0.762,Mar
1980-03-12,0.272,0.254,Mar
1980-03-13,0.106,0.254,Mar
1980-03-14,0.034,0.254,Mar
1980-03-15,1.576,0.000,Mar
1980-03-16,0.109,0.000,Mar
1980-03-17,0.022,0.000,Mar
1980-03-18,0.274,0.000,Mar
1980-03-19,0.157,0.000,Mar
1980-03-20,0.152,0.000,Mar
1980-03-21,0.721,0.254,Mar
1980-03-22,0.308,0.000,Mar
1980-03-23,0.040,0.000,Mar
1980-03-24,0.000,0.000,Mar
1980-03-25,0.012,0.000,Mar
1980-03-26,0.096,0.000,Mar
1980-03-27,0.005,0.000,Mar
1980-03-28,0.016,0.000,Mar
1980-03-29,0.051,0.000,Mar
1980-03-30,0.020,0.000,Mar
1980-03-31,0.135,0.000,Mar
1980-04-01,0.022,0.000,Apr
1980-04-02,0.636,0.000,Apr
1980-04-03,0.064,0.000,Apr
1980-04-04,0.000,0.000,Apr
1980-04-05,0.000,0.000,Apr
1980-04-06,0.009,0.000,Apr
1980-04-07,0.009,0.000,Apr
1980-04-08,0.002,0.000,Apr
1980-04-09,0.000,0.000,Apr
1980-04-10,0.131,0.508,Apr
1980-04-11,0.682,0.254,Apr
1980-04-12,3.284,0.254,Apr
1980-04-13,0.078,0.000,Apr
1980-04-14,0.000,0.000,Apr
1980-04-15,0.001,0.000,Apr
1980-04-16,0.071,0.000,Apr
1980-04-17,0.087,0.000,Apr
1980-04-18,0.017,0.000,Apr
1980-04-19,0.349,0.254,Apr
1980-04-20,0.026,0.000,Apr
1980-04-21,0.045,0.000,Apr
1980-04-22,0.643,0.000,Apr
1980-04-23,0.064,0.000,Apr
1980-04-24,0.000,0.000,Apr
1980-04-25,0.001,0.000,Apr
1980-04-26,0.075,0.762,Apr
1980-04-27,0.002,1.016,Apr
1980-04-28,0.002,0.254,Apr
1980-04-29,0.718,0.000,Apr
1980-04-30,1.825,0.254,Apr
1980-05-01,1.079,0.000,May
1980-05-02,0.730,0.000,May
1980-05-03,8.537,0.254,May
1980-05-04,0.046,0.000,May
1980-05-05,0.000,0.000,May
1980-05-06,3.683,0.254,May
1980-05-07,0.127,0.254,May
1980-05-08,0.001,0.254,May
1980-05-09,0.002,0.254,May
1980-05-10,1.298,0.000,May
1980-05-11,0.164,0.000,May
1980-05-12,0.004,0.000,May
1980-05-13,0.000,0.000,May
1980-05-14,0.003,0.000,May
1980-05-15,0.001,0.000,May
1980-05-16,0.000,0.000,May
1980-05-17,1.424,0.000,May
1980-05-18,0.064,0.000,May
1980-05-19,0.062,0.254,May
1980-05-20,0.476,0.000,May
1980-05-21,1.679,0.000,May
1980-05-22,5.967,6.604,May
1980-05-23,1.626,0.000,May
1980-05-24,0.050,0.000,May
1980-05-25,0.000,0.000,May
1980-05-26,0.000,0.000,May
1980-05-27,0.102,0.000,May
1980-05-28,9.352,0.254,May
1980-05-29,0.196,0.762,May
1980-05-30,0.996,0.254,May
