Time,rain_ERA5_12km,FAIRBANKS INTL AP,month
1990-01-01,0.000,0.000,Jan
1990-01-02,0.001,0.000,Jan
1990-01-03,0.001,0.000,Jan
1990-01-04,0.000,0.000,Jan
1990-01-05,0.000,0.025,Jan
1990-01-06,0.000,0.000,Jan
1990-01-07,0.078,0.330,Jan
1990-01-08,0.068,0.025,Jan
1990-01-09,0.012,0.025,Jan
1990-01-10,0.000,0.000,Jan
1990-01-11,0.018,0.025,Jan
1990-01-12,0.017,0.025,Jan
1990-01-13,0.017,0.000,Jan
1990-01-14,0.070,0.178,Jan
1990-01-15,0.060,0.102,Jan
1990-01-16,0.119,0.203,Jan
1990-01-17,0.133,0.229,Jan
1990-01-18,0.181,0.102,Jan
1990-01-19,0.035,0.025,Jan
1990-01-20,0.004,0.000,Jan
1990-01-21,0.003,0.000,Jan
1990-01-22,0.001,0.025,Jan
1990-01-23,0.086,0.025,Jan
1990-01-24,0.014,0.152,Jan
1990-01-25,0.002,0.025,Jan
1990-01-26,0.000,0.025,Jan
1990-01-27,0.000,0.000,Jan
1990-01-28,0.000,0.000,Jan
1990-01-29,0.000,0.000,Jan
1990-01-30,0.000,0.000,Jan
1990-01-31,0.000,0.000,Jan
1990-02-01,0.000,0.000,Feb
1990-02-02,0.000,0.000,Feb
1990-02-03,0.000,0.025,Feb
1990-02-04,0.000,0.000,Feb
1990-02-05,0.008,0.025,Feb
1990-02-06,0.044,0.076,Feb
1990-02-07,0.004,0.025,Feb
1990-02-08,0.000,0.000,Feb
1990-02-09,0.000,0.025,Feb
1990-02-10,0.001,0.025,Feb
1990-02-11,0.001,0.000,Feb
1990-02-12,0.000,0.000,Feb
1990-02-13,0.340,0.635,Feb
1990-02-14,0.027,0.025,Feb
1990-02-15,0.004,0.000,Feb
1990-02-16,0.321,0.483,Feb
1990-02-17,0.005,0.025,Feb
1990-02-18,0.004,0.025,Feb
1990-02-19,0.007,0.025,Feb
1990-02-20,0.000,0.000,Feb
1990-02-21,0.000,0.000,Feb
1990-02-22,0.000,0.000,Feb
1990-02-23,0.010,0.076,Feb
1990-02-24,0.248,0.178,Feb
1990-02-25,0.000,0.000,Feb
1990-02-26,0.120,0.178,Feb
1990-02-27,0.164,0.152,Feb
1990-02-28,0.002,0.000,Feb
1990-03-01,0.002,0.000,Mar
1990-03-02,0.023,0.000,Mar
1990-03-03,0.030,0.025,Mar
1990-03-04,0.135,0.051,Mar
1990-03-05,0.065,0.025,Mar
1990-03-06,0.096,0.025,Mar
