Time,precip_mm_ERA5_4km,JUNEAU AIRPORT,month
1970-01-01,0.000,6.096,Jan
1970-01-02,0.000,1.778,Jan
1970-01-03,0.000,0.000,Jan
1970-01-04,0.000,0.000,Jan
1970-01-05,0.000,0.254,Jan
1970-01-06,0.000,1.778,Jan
1970-01-07,0.000,5.080,Jan
1970-01-08,0.000,0.000,Jan
1970-01-09,0.000,0.000,Jan
1970-01-10,0.000,0.000,Jan
1970-01-11,0.000,0.000,Jan
1970-01-12,0.000,0.000,Jan
1970-01-13,0.000,0.000,Jan
1970-01-14,0.000,0.000,Jan
1970-01-15,0.000,0.508,Jan
1970-01-16,0.000,0.762,Jan
1970-01-17,0.000,0.254,Jan
1970-01-18,0.000,3.810,Jan
1970-01-19,0.000,0.254,Jan
1970-01-20,0.000,1.778,Jan
1970-01-21,0.000,0.762,Jan
1970-01-22,0.000,2.032,Jan
1970-01-23,0.000,0.254,Jan
1970-01-24,0.000,0.254,Jan
1970-01-25,0.000,0.762,Jan
1970-01-26,0.000,1.016,Jan
1970-01-27,0.000,1.016,Jan
1970-01-28,0.000,4.826,Jan
1970-01-29,0.000,11.938,Jan
1970-01-30,0.000,6.858,Jan
1970-01-31,0.000,8.636,Jan
1970-02-01,0.000,2.032,Feb
1970-02-02,0.000,15.240,Feb
1970-02-03,0.000,0.508,Feb
1970-02-04,0.000,14.732,Feb
1970-02-05,0.000,4.064,Feb
1970-02-06,0.000,0.254,Feb
1970-02-07,0.000,1.016,Feb
1970-02-08,0.000,0.000,Feb
1970-02-09,0.000,0.000,Feb
1970-02-10,0.000,0.000,Feb
1970-02-11,0.000,0.000,Feb
1970-02-12,0.000,0.000,Feb
1970-02-13,0.000,0.000,Feb
1970-02-14,0.000,0.508,Feb
1970-02-15,0.000,1.270,Feb
1970-02-16,0.000,0.000,Feb
1970-02-17,0.000,0.000,Feb
1970-02-18,0.000,7.874,Feb
1970-02-19,0.000,26.670,Feb
1970-02-20,0.000,3.302,Feb
1970-02-21,0.000,1.778,Feb
1970-02-22,0.000,0.254,Feb
1970-02-23,0.000,2.794,Feb
1970-02-24,0.000,3.302,Feb
1970-02-25,0.000,0.254,Feb
1970-02-26,0.000,0.000,Feb
1970-02-27,0.000,0.000,Feb
1970-02-28,0.000,0.000,Feb
1970-03-01,0.000,0.000,Mar
1970-03-02,0.000,0.000,Mar
1970-03-03,0.000,0.254,Mar
1970-03-04,0.000,0.254,Mar
1970-03-05,0.000,1.778,Mar
1970-03-06,0.000,0.254,Mar
1970-03-07,0.000,7.366,Mar
1970-03-08,0.000,0.254,Mar
1970-03-09,0.000,0.254,Mar
1970-03-10,0.000,0.000,Mar
1970-03-11,0.000,0.000,Mar
1970-03-12,0.000,0.254,Mar
1970-03-13,0.000,1.778,Mar
1970-03-14,0.000,2.540,Mar
1970-03-15,0.000,1.778,Mar
1970-03-16,0.000,0.762,Mar
1970-03-17,0.000,2.794,Mar
1970-03-18,0.000,33.528,Mar
1970-03-19,0.000,0.254,Mar
1970-03-20,0.000,0.254,Mar
1970-03-21,0.000,10.160,Mar
1970-03-22,0.000,3.048,Mar
1970-03-23,0.000,4.318,Mar
1970-03-24,0.000,7.366,Mar
1970-03-25,0.000,1.016,Mar
1970-03-26,0.000,12.192,Mar
1970-03-27,0.000,1.778,Mar
1970-03-28,0.000,6.858,Mar
1970-03-29,0.000,0.254,Mar
1970-03-30,0.000,3.048,Mar
1970-03-31,0.000,1.016,Mar
1970-04-01,0.000,0.254,Apr
1970-04-02,0.000,2.286,Apr
1970-04-03,0.000,11.938,Apr
1970-04-04,0.000,3.302,Apr
1970-04-05,0.000,12.192,Apr
1970-04-06,0.000,0.254,Apr
1970-04-07,0.000,4.064,Apr
1970-04-08,0.000,3.810,Apr
1970-04-09,0.000,0.254,Apr
1970-04-10,0.000,4.318,Apr
1970-04-11,0.000,0.762,Apr
1970-04-12,0.000,0.254,Apr
1970-04-13,0.000,0.000,Apr
1970-04-14,0.000,0.000,Apr
1970-04-15,0.000,0.000,Apr
1970-04-16,0.000,0.508,Apr
1970-04-17,0.000,6.096,Apr
1970-04-18,0.000,7.112,Apr
1970-04-19,0.000,0.762,Apr
1970-04-20,0.000,0.254,Apr
1970-04-21,0.000,3.810,Apr
1970-04-22,0.000,4.572,Apr
1970-04-23,0.000,6.858,Apr
1970-04-24,0.000,0.254,Apr
1970-04-25,0.000,0.000,Apr
1970-04-26,0.000,0.254,Apr
1970-04-27,0.000,0.254,Apr
1970-04-28,0.000,10.668,Apr
1970-04-29,0.000,1.270,Apr
1970-04-30,0.000,8.890,Apr
1970-05-01,0.000,6.604,May
1970-05-02,0.000,1.016,May
1970-05-03,0.000,0.254,May
1970-05-04,0.000,7.874,May
1970-05-05,0.000,8.382,May
1970-05-06,0.000,1.270,May
