Time,T2,acsnow,SNOW
2014-01-01 00:00:00,276.530,0.000,130.314
2014-01-01 01:00:00,277.442,0.000,129.721
2014-01-01 02:00:00,277.355,0.000,129.200
2014-01-01 03:00:00,277.184,0.000,128.451
2014-01-01 04:00:00,276.972,0.000,127.911
2014-01-01 05:00:00,276.803,0.000,127.456
2014-01-01 06:00:00,276.143,0.000,127.397
2014-01-01 07:00:00,276.445,0.000,127.288
2014-01-01 08:00:00,276.269,0.000,127.174
2014-01-01 09:00:00,276.548,0.000,127.141
2014-01-01 10:00:00,276.693,0.000,127.037
2014-01-01 11:00:00,274.363,0.000,126.998
2014-01-01 12:00:00,274.385,0.000,126.974
2014-01-01 13:00:00,273.687,0.000,126.965
2014-01-01 14:00:00,275.436,0.000,126.951
2014-01-01 15:00:00,273.007,0.000,133.488
2014-01-01 16:00:00,272.855,0.000,133.453
2014-01-01 17:00:00,273.049,0.022,133.422
2014-01-01 18:00:00,272.400,0.106,133.457
2014-01-01 19:00:00,272.537,0.087,133.477
2014-01-01 20:00:00,272.172,0.312,133.732
2014-01-01 21:00:00,271.948,0.238,133.927
2014-01-01 22:00:00,272.217,0.250,134.140
2014-01-01 23:00:00,272.414,0.444,134.555
2014-01-02 00:00:00,272.321,0.229,134.770
2014-01-02 01:00:00,271.132,0.101,134.874
2014-01-02 02:00:00,269.625,0.078,134.953
2014-01-02 03:00:00,272.317,0.158,135.108
2014-01-02 04:00:00,271.711,0.442,135.550
2014-01-02 05:00:00,271.594,0.066,135.617
2014-01-02 06:00:00,271.305,0.010,135.628
2014-01-02 07:00:00,271.345,0.040,135.669
2014-01-02 08:00:00,271.476,0.433,136.103
2014-01-02 09:00:00,271.235,0.399,136.504
2014-01-02 10:00:00,271.253,0.184,136.688
2014-01-02 11:00:00,271.347,0.127,136.816
2014-01-02 12:00:00,271.666,0.055,136.872
2014-01-02 13:00:00,271.885,0.020,136.889
2014-01-02 14:00:00,271.552,0.139,137.029
2014-01-02 15:00:00,271.434,0.193,137.222
2014-01-02 16:00:00,271.333,0.048,137.271
2014-01-02 17:00:00,271.202,0.024,137.297
2014-01-02 18:00:00,271.123,0.052,137.349
2014-01-02 19:00:00,271.013,0.035,137.385
2014-01-02 20:00:00,270.988,0.009,137.396
2014-01-02 21:00:00,264.595,0.001,137.397
2014-01-02 22:00:00,266.841,0.000,137.409
2014-01-02 23:00:00,270.368,0.000,137.417
2014-01-03 00:00:00,270.482,0.000,137.419
2014-01-03 01:00:00,270.451,0.000,137.422
2014-01-03 02:00:00,271.011,0.000,137.418
2014-01-03 03:00:00,270.807,0.005,137.420
2014-01-03 04:00:00,271.071,0.046,137.460
2014-01-03 05:00:00,271.651,0.050,137.505
