Time,T2,acsnow,SNOW
2014-01-01 00:00:00,276.909,0.000,94.881
2014-01-01 01:00:00,276.768,0.000,94.323
2014-01-01 02:00:00,276.271,0.000,93.901
2014-01-01 03:00:00,275.739,0.000,93.663
2014-01-01 04:00:00,275.572,0.000,93.399
2014-01-01 05:00:00,275.716,0.000,93.154
2014-01-01 06:00:00,275.635,0.000,92.983
2014-01-01 07:00:00,274.916,0.000,92.859
2014-01-01 08:00:00,275.519,0.000,92.734
2014-01-01 09:00:00,274.829,0.000,92.649
2014-01-01 10:00:00,275.248,0.000,92.482
2014-01-01 11:00:00,274.861,0.000,92.278
2014-01-01 12:00:00,274.289,0.916,93.072
2014-01-01 13:00:00,274.389,0.319,93.282
2014-01-01 14:00:00,274.780,0.000,93.235
2014-01-01 15:00:00,274.685,0.000,110.362
2014-01-01 16:00:00,274.458,0.000,110.263
2014-01-01 17:00:00,274.128,0.000,110.204
2014-01-01 18:00:00,273.849,0.013,110.154
2014-01-01 19:00:00,273.926,0.939,111.039
2014-01-01 20:00:00,273.944,0.569,111.554
2014-01-01 21:00:00,273.473,2.703,114.208
2014-01-01 22:00:00,273.664,2.211,116.391
2014-01-01 23:00:00,273.599,2.719,119.065
2014-01-02 00:00:00,273.517,0.480,119.546
2014-01-02 01:00:00,273.036,0.486,120.034
2014-01-02 02:00:00,272.982,0.492,120.529
2014-01-02 03:00:00,272.923,0.524,121.054
2014-01-02 04:00:00,272.161,0.377,121.433
2014-01-02 05:00:00,268.270,0.188,121.622
2014-01-02 06:00:00,265.999,0.022,121.644
2014-01-02 07:00:00,266.123,0.001,121.646
2014-01-02 08:00:00,265.793,0.000,121.646
2014-01-02 09:00:00,265.447,0.000,121.646
2014-01-02 10:00:00,264.832,0.000,121.646
2014-01-02 11:00:00,266.000,0.000,121.646
2014-01-02 12:00:00,267.256,0.000,121.646
2014-01-02 13:00:00,267.404,0.000,121.650
2014-01-02 14:00:00,267.812,0.000,121.650
2014-01-02 15:00:00,266.756,0.000,121.650
2014-01-02 16:00:00,265.445,0.000,121.650
2014-01-02 17:00:00,265.815,0.000,121.650
2014-01-02 18:00:00,265.877,0.000,121.650
2014-01-02 19:00:00,266.562,0.000,121.650
2014-01-02 20:00:00,266.060,0.000,121.650
2014-01-02 21:00:00,265.931,0.000,121.650
2014-01-02 22:00:00,265.968,0.000,121.650
2014-01-02 23:00:00,267.197,0.000,121.650
2014-01-03 00:00:00,269.381,0.000,121.652
2014-01-03 01:00:00,268.366,0.000,121.652
2014-01-03 02:00:00,267.976,0.000,121.652
2014-01-03 03:00:00,267.828,0.000,121.652
2014-01-03 04:00:00,266.906,0.000,121.652
2014-01-03 05:00:00,267.775,0.000,121.652
2014-01-03 06:00:00,269.577,0.000,121.653
2014-01-03 07:00:00,269.131,0.000,121.653
2014-01-03 08:00:00,269.968,0.000,121.653
2014-01-03 09:00:00,270.413,0.000,121.654
2014-01-03 10:00:00,270.499,0.003,121.658
2014-01-03 11:00:00,270.952,0.007,121.665
2014-01-03 12:00:00,272.515,0.005,121.666
2014-01-03 13:00:00,272.523,0.000,121.663
2014-01-03 14:00:00,272.853,0.012,121.672
2014-01-03 15:00:00,271.445,0.104,103.338
2014-01-03 16:00:00,271.656,0.384,103.721
2014-01-03 17:00:00,272.016,0.578,104.297
2014-01-03 18:00:00,272.479,0.593,104.890
2014-01-03 19:00:00,271.857,0.391,105.281
2014-01-03 20:00:00,273.257,0.332,105.613
2014-01-03 21:00:00,273.238,0.873,106.485
2014-01-03 22:00:00,273.374,0.319,106.806
2014-01-03 23:00:00,273.465,0.124,106.930
2014-01-04 00:00:00,273.593,0.039,106.976
2014-01-04 01:00:00,273.230,0.000,106.979
2014-01-04 02:00:00,271.406,0.000,106.980
2014-01-04 03:00:00,272.250,0.000,106.981
2014-01-04 04:00:00,270.232,0.000,106.981
2014-01-04 05:00:00,270.166,0.000,106.982
2014-01-04 06:00:00,271.265,0.010,106.991
2014-01-04 07:00:00,272.181,0.081,107.071
2014-01-04 08:00:00,272.749,0.162,107.231
2014-01-04 09:00:00,272.685,0.165,107.394
2014-01-04 10:00:00,272.837,0.443,107.835
2014-01-04 11:00:00,273.152,0.699,108.532
2014-01-04 12:00:00,273.568,0.766,109.295
2014-01-04 13:00:00,273.846,1.067,110.328
2014-01-04 14:00:00,274.042,1.303,111.606
2014-01-04 15:00:00,273.897,0.971,112.560
2014-01-04 16:00:00,274.329,0.007,112.628
2014-01-04 17:00:00,275.015,0.000,112.597
2014-01-04 18:00:00,275.215,0.000,112.467
2014-01-04 19:00:00,274.965,0.000,112.277
2014-01-04 20:00:00,274.700,0.000,112.077
2014-01-04 21:00:00,274.515,0.000,111.867
2014-01-04 22:00:00,274.914,0.000,111.691
2014-01-04 23:00:00,276.515,0.000,111.424
2014-01-05 00:00:00,276.485,0.000,111.130
2014-01-05 01:00:00,276.935,0.000,110.724
2014-01-05 02:00:00,276.889,0.000,110.302
2014-01-05 03:00:00,275.683,0.000,110.024
2014-01-05 04:00:00,276.405,0.000,109.766
2014-01-05 05:00:00,276.290,0.000,109.481
2014-01-05 06:00:00,276.340,0.000,109.233
2014-01-05 07:00:00,276.263,0.000,108.978
2014-01-05 08:00:00,275.887,0.000,108.695
2014-01-05 09:00:00,275.796,0.000,108.463
2014-01-05 10:00:00,275.255,0.000,108.260
2014-01-05 11:00:00,275.387,0.000,108.104
2014-01-05 12:00:00,275.759,0.000,107.872
2014-01-05 13:00:00,275.670,0.000,107.570
2014-01-05 14:00:00,275.693,0.257,107.504
2014-01-05 15:00:00,274.863,0.000,119.608
2014-01-05 16:00:00,274.696,0.000,119.437
2014-01-05 17:00:00,274.722,0.000,119.266
2014-01-05 18:00:00,274.628,0.000,119.084
2014-01-05 19:00:00,274.545,0.000,118.924
2014-01-05 20:00:00,274.431,0.000,118.778
2014-01-05 21:00:00,274.502,0.000,118.633
2014-01-05 22:00:00,274.499,0.000,118.483
2014-01-05 23:00:00,274.400,0.000,118.337
2014-01-06 00:00:00,274.658,0.000,118.189
2014-01-06 01:00:00,274.728,0.000,118.029
2014-01-06 02:00:00,274.749,0.000,117.867
2014-01-06 03:00:00,274.865,0.000,117.709
2014-01-06 04:00:00,274.809,0.000,117.550
2014-01-06 05:00:00,274.817,0.000,117.396
2014-01-06 06:00:00,274.703,0.000,117.246
2014-01-06 07:00:00,274.706,0.000,117.104
2014-01-06 08:00:00,274.575,0.000,116.946
2014-01-06 09:00:00,274.576,0.000,116.787
2014-01-06 10:00:00,274.851,0.000,116.652
2014-01-06 11:00:00,274.829,0.000,116.526
2014-01-06 12:00:00,274.788,0.000,116.381
2014-01-06 13:00:00,274.785,0.000,116.216
