# Monthly mean ERA5 wind speed for PANC, lon/lat = 210.0/61.25
# Chris Waigl, cwaigl@alaska.edu, 2025-10-29 02:01:46.850567
Time,wsp10,year,month
1981-01-31,2.661,1981,1
1981-02-28,1.994,1981,2
1981-03-31,2.334,1981,3
1981-04-30,1.626,1981,4
1981-05-31,1.615,1981,5
1981-06-30,1.784,1981,6
1981-07-31,1.768,1981,7
1981-08-31,2.019,1981,8
1981-09-30,2.107,1981,9
1981-10-31,2.034,1981,10
1981-11-30,2.218,1981,11
1981-12-31,2.196,1981,12
1982-01-31,2.227,1982,1
1982-02-28,2.856,1982,2
1982-03-31,2.023,1982,3
1982-04-30,2.532,1982,4
1982-05-31,1.538,1982,5
1982-06-30,1.701,1982,6
1982-07-31,1.763,1982,7
1982-08-31,1.476,1982,8
1982-09-30,2.075,1982,9
1982-10-31,2.373,1982,10
1982-11-30,1.914,1982,11
1982-12-31,2.771,1982,12
1983-01-31,2.911,1983,1
1983-02-28,1.978,1983,2
1983-03-31,1.610,1983,3
1983-04-30,1.573,1983,4
1983-05-31,1.523,1983,5
1983-06-30,1.398,1983,6
1983-07-31,1.567,1983,7
1983-08-31,1.800,1983,8
1983-09-30,2.344,1983,9
1983-10-31,2.574,1983,10
1983-11-30,2.341,1983,11
1983-12-31,1.575,1983,12
1984-01-31,2.124,1984,1
1984-02-29,2.448,1984,2
1984-03-31,1.812,1984,3
1984-04-30,1.730,1984,4
1984-05-31,1.549,1984,5
1984-06-30,1.620,1984,6
1984-07-31,1.608,1984,7
1984-08-31,2.106,1984,8
1984-09-30,1.733,1984,9
1984-10-31,2.016,1984,10
1984-11-30,1.803,1984,11
1984-12-31,1.952,1984,12
1985-01-31,2.515,1985,1
1985-02-28,2.375,1985,2
1985-03-31,2.404,1985,3
1985-04-30,2.139,1985,4
1985-05-31,1.749,1985,5
1985-06-30,1.706,1985,6
1985-07-31,1.573,1985,7
1985-08-31,1.749,1985,8
1985-09-30,2.178,1985,9
1985-10-31,2.063,1985,10
1985-11-30,1.782,1985,11
1985-12-31,2.417,1985,12
1986-01-31,2.628,1986,1
1986-02-28,2.224,1986,2
1986-03-31,1.939,1986,3
1986-04-30,2.176,1986,4
1986-05-31,1.746,1986,5
1986-06-30,1.680,1986,6
1986-07-31,1.786,1986,7
1986-08-31,1.959,1986,8
1986-09-30,1.952,1986,9
1986-10-31,1.974,1986,10
1986-11-30,2.461,1986,11
1986-12-31,2.506,1986,12
1987-01-31,2.850,1987,1
1987-02-28,2.742,1987,2
1987-03-31,2.000,1987,3
1987-04-30,1.735,1987,4
1987-05-31,1.559,1987,5
1987-06-30,1.862,1987,6
1987-07-31,1.635,1987,7
1987-08-31,1.781,1987,8
1987-09-30,2.293,1987,9
1987-10-31,2.311,1987,10
1987-11-30,2.241,1987,11
1987-12-31,1.833,1987,12
1988-01-31,2.226,1988,1
1988-02-29,3.077,1988,2
1988-03-31,2.178,1988,3
1988-04-30,2.109,1988,4
1988-05-31,1.596,1988,5
1988-06-30,1.609,1988,6
1988-07-31,1.628,1988,7
1988-08-31,1.759,1988,8
1988-09-30,1.975,1988,9
1988-10-31,2.293,1988,10
1988-11-30,2.063,1988,11
1988-12-31,2.740,1988,12
1989-01-31,2.437,1989,1
1989-02-28,1.418,1989,2
1989-03-31,2.065,1989,3
1989-04-30,1.428,1989,4
1989-05-31,1.529,1989,5
1989-06-30,1.537,1989,6
1989-07-31,1.608,1989,7
1989-08-31,1.507,1989,8
1989-09-30,1.792,1989,9
1989-10-31,2.516,1989,10
1989-11-30,2.596,1989,11
1989-12-31,2.320,1989,12
1990-01-31,2.101,1990,1
1990-02-28,1.737,1990,2
1990-03-31,1.941,1990,3
1990-04-30,1.374,1990,4
1990-05-31,1.518,1990,5
1990-06-30,1.572,1990,6
1990-07-31,1.742,1990,7
1990-08-31,1.575,1990,8
1990-09-30,2.305,1990,9
1990-10-31,2.164,1990,10
1990-11-30,2.753,1990,11
1990-12-31,1.961,1990,12
1991-01-31,2.314,1991,1
1991-02-28,2.306,1991,2
1991-03-31,1.622,1991,3
1991-04-30,1.915,1991,4
1991-05-31,1.881,1991,5
1991-06-30,1.796,1991,6
1991-07-31,1.497,1991,7
1991-08-31,1.895,1991,8
1991-09-30,2.285,1991,9
1991-10-31,2.050,1991,10
1991-11-30,2.495,1991,11
1991-12-31,2.288,1991,12
1992-01-31,2.300,1992,1
1992-02-29,1.924,1992,2
1992-03-31,2.139,1992,3
1992-04-30,1.776,1992,4
1992-05-31,1.886,1992,5
1992-06-30,1.700,1992,6
1992-07-31,1.473,1992,7
1992-08-31,1.829,1992,8
1992-09-30,2.645,1992,9
1992-10-31,1.958,1992,10
1992-11-30,2.466,1992,11
1992-12-31,2.074,1992,12
1993-01-31,2.492,1993,1
1993-02-28,2.298,1993,2
1993-03-31,2.213,1993,3
1993-04-30,1.777,1993,4
1993-05-31,1.566,1993,5
1993-06-30,1.681,1993,6
1993-07-31,1.606,1993,7
1993-08-31,1.814,1993,8
1993-09-30,2.673,1993,9
1993-10-31,2.305,1993,10
1993-11-30,2.365,1993,11
1993-12-31,2.734,1993,12
1994-01-31,2.053,1994,1
1994-02-28,2.385,1994,2
1994-03-31,2.635,1994,3
1994-04-30,1.725,1994,4
1994-05-31,1.891,1994,5
1994-06-30,1.818,1994,6
1994-07-31,1.472,1994,7
1994-08-31,1.880,1994,8
1994-09-30,2.054,1994,9
1994-10-31,2.381,1994,10
1994-11-30,2.474,1994,11
1994-12-31,2.250,1994,12
1995-01-31,1.940,1995,1
1995-02-28,2.384,1995,2
1995-03-31,2.673,1995,3
1995-04-30,1.904,1995,4
1995-05-31,1.860,1995,5
1995-06-30,1.642,1995,6
1995-07-31,1.334,1995,7
1995-08-31,1.581,1995,8
1995-09-30,2.008,1995,9
1995-10-31,1.947,1995,10
1995-11-30,2.178,1995,11
1995-12-31,2.696,1995,12
1996-01-31,1.816,1996,1
1996-02-29,2.190,1996,2
1996-03-31,2.126,1996,3
1996-04-30,2.053,1996,4
1996-05-31,1.693,1996,5
1996-06-30,1.891,1996,6
1996-07-31,1.623,1996,7
1996-08-31,1.762,1996,8
1996-09-30,2.262,1996,9
1996-10-31,2.128,1996,10
1996-11-30,1.616,1996,11
1996-12-31,2.374,1996,12
1997-01-31,2.394,1997,1
1997-02-28,2.263,1997,2
1997-03-31,2.459,1997,3
1997-04-30,1.975,1997,4
1997-05-31,1.695,1997,5
1997-06-30,1.564,1997,6
1997-07-31,1.439,1997,7
1997-08-31,1.475,1997,8
1997-09-30,2.031,1997,9
1997-10-31,2.336,1997,10
1997-11-30,2.349,1997,11
1997-12-31,2.441,1997,12
1998-01-31,2.171,1998,1
1998-02-28,2.174,1998,2
1998-03-31,1.620,1998,3
1998-04-30,2.091,1998,4
1998-05-31,1.831,1998,5
1998-06-30,1.461,1998,6
1998-07-31,1.502,1998,7
1998-08-31,2.164,1998,8
1998-09-30,2.180,1998,9
1998-10-31,2.231,1998,10
1998-11-30,1.744,1998,11
1998-12-31,2.080,1998,12
1999-01-31,2.889,1999,1
1999-02-28,2.044,1999,2
1999-03-31,2.399,1999,3
1999-04-30,1.999,1999,4
1999-05-31,1.909,1999,5
1999-06-30,1.603,1999,6
