# Monthly mean ERA5 wind speed for PAFA, lon/lat = 212.0/64.75
# Chris Waigl, cwaigl@alaska.edu, 2025-10-31 13:49:54.680983
Time,wsp10,year,month
1981-01-31,3.864,1981,1
1981-02-28,3.124,1981,2
1981-03-31,3.753,1981,3
1981-04-30,3.904,1981,4
1981-05-31,3.523,1981,5
1981-06-30,3.784,1981,6
1981-07-31,3.818,1981,7
1981-08-31,3.383,1981,8
1981-09-30,2.933,1981,9
1981-10-31,2.697,1981,10
1981-11-30,3.172,1981,11
1981-12-31,2.887,1981,12
1982-01-31,3.839,1982,1
1982-02-28,2.854,1982,2
1982-03-31,3.158,1982,3
1982-04-30,3.357,1982,4
1982-05-31,3.191,1982,5
1982-06-30,3.064,1982,6
1982-07-31,3.400,1982,7
1982-08-31,3.135,1982,8
1982-09-30,3.352,1982,9
1982-10-31,3.075,1982,10
1982-11-30,2.962,1982,11
1982-12-31,3.437,1982,12
1983-01-31,3.445,1983,1
1983-02-28,3.008,1983,2
1983-03-31,3.099,1983,3
1983-04-30,3.201,1983,4
1983-05-31,3.937,1983,5
1983-06-30,3.570,1983,6
1983-07-31,3.124,1983,7
1983-08-31,3.417,1983,8
1983-09-30,3.461,1983,9
1983-10-31,3.199,1983,10
1983-11-30,3.463,1983,11
1983-12-31,3.155,1983,12
1984-01-31,2.976,1984,1
1984-02-29,2.499,1984,2
1984-03-31,2.999,1984,3
1984-04-30,3.182,1984,4
1984-05-31,3.165,1984,5
1984-06-30,2.736,1984,6
1984-07-31,3.657,1984,7
1984-08-31,3.485,1984,8
1984-09-30,2.963,1984,9
1984-10-31,3.338,1984,10
1984-11-30,2.794,1984,11
1984-12-31,3.628,1984,12
1985-01-31,3.783,1985,1
1985-02-28,3.107,1985,2
1985-03-31,3.348,1985,3
1985-04-30,3.194,1985,4
1985-05-31,3.737,1985,5
1985-06-30,3.572,1985,6
1985-07-31,3.509,1985,7
1985-08-31,3.439,1985,8
1985-09-30,3.786,1985,9
1985-10-31,2.537,1985,10
1985-11-30,3.203,1985,11
1985-12-31,3.527,1985,12
1986-01-31,3.455,1986,1
1986-02-28,3.298,1986,2
1986-03-31,3.055,1986,3
1986-04-30,3.312,1986,4
1986-05-31,3.520,1986,5
1986-06-30,3.117,1986,6
1986-07-31,3.545,1986,7
1986-08-31,3.300,1986,8
1986-09-30,3.268,1986,9
1986-10-31,3.140,1986,10
1986-11-30,3.163,1986,11
1986-12-31,3.298,1986,12
1987-01-31,3.409,1987,1
1987-02-28,3.174,1987,2
1987-03-31,3.289,1987,3
1987-04-30,3.506,1987,4
1987-05-31,3.505,1987,5
1987-06-30,3.997,1987,6
1987-07-31,3.535,1987,7
1987-08-31,3.695,1987,8
1987-09-30,3.662,1987,9
1987-10-31,3.183,1987,10
1987-11-30,2.903,1987,11
1987-12-31,2.849,1987,12
1988-01-31,3.242,1988,1
1988-02-29,4.263,1988,2
1988-03-31,3.584,1988,3
1988-04-30,3.620,1988,4
1988-05-31,3.277,1988,5
1988-06-30,3.045,1988,6
1988-07-31,3.362,1988,7
1988-08-31,3.625,1988,8
1988-09-30,2.941,1988,9
1988-10-31,3.206,1988,10
1988-11-30,2.927,1988,11
1988-12-31,3.441,1988,12
1989-01-31,2.766,1989,1
1989-02-28,3.465,1989,2
1989-03-31,3.456,1989,3
1989-04-30,2.671,1989,4
1989-05-31,3.395,1989,5
1989-06-30,4.066,1989,6
1989-07-31,3.384,1989,7
1989-08-31,3.271,1989,8
1989-09-30,3.575,1989,9
1989-10-31,3.259,1989,10
1989-11-30,2.873,1989,11
1989-12-31,3.647,1989,12
1990-01-31,3.001,1990,1
1990-02-28,2.681,1990,2
1990-03-31,3.215,1990,3
1990-04-30,3.214,1990,4
1990-05-31,2.856,1990,5
1990-06-30,3.482,1990,6
1990-07-31,3.062,1990,7
1990-08-31,3.292,1990,8
1990-09-30,3.899,1990,9
1990-10-31,3.241,1990,10
1990-11-30,3.065,1990,11
1990-12-31,3.076,1990,12
1991-01-31,3.430,1991,1
1991-02-28,3.499,1991,2
1991-03-31,3.281,1991,3
1991-04-30,2.694,1991,4
1991-05-31,3.188,1991,5
1991-06-30,3.360,1991,6
1991-07-31,3.149,1991,7
1991-08-31,3.964,1991,8
1991-09-30,3.600,1991,9
1991-10-31,3.274,1991,10
1991-11-30,3.358,1991,11
1991-12-31,3.546,1991,12
1992-01-31,3.102,1992,1
1992-02-29,2.588,1992,2
1992-03-31,3.189,1992,3
1992-04-30,3.401,1992,4
1992-05-31,3.957,1992,5
1992-06-30,3.261,1992,6
1992-07-31,2.599,1992,7
1992-08-31,3.536,1992,8
1992-09-30,3.187,1992,9
1992-10-31,3.195,1992,10
1992-11-30,3.288,1992,11
1992-12-31,3.167,1992,12
1993-01-31,3.556,1993,1
1993-02-28,3.516,1993,2
1993-03-31,2.996,1993,3
1993-04-30,3.252,1993,4
1993-05-31,4.167,1993,5
1993-06-30,2.853,1993,6
1993-07-31,3.077,1993,7
1993-08-31,3.627,1993,8
1993-09-30,4.060,1993,9
1993-10-31,3.179,1993,10
1993-11-30,3.256,1993,11
1993-12-31,3.641,1993,12
1994-01-31,3.926,1994,1
1994-02-28,3.109,1994,2
