Time,precip_mm_ERA5_12km,EAGLE AIRPORT,month
1970-01-01,0.056,,Jan
1970-01-02,0.217,,Jan
1970-01-03,0.067,,Jan
1970-01-04,0.009,,Jan
1970-01-05,0.000,,Jan
1970-01-06,0.382,,Jan
1970-01-07,1.379,,Jan
1970-01-08,0.458,,Jan
1970-01-09,0.012,,Jan
1970-01-10,0.000,,Jan
1970-01-11,0.011,,Jan
1970-01-12,0.009,,Jan
1970-01-13,0.000,,Jan
1970-01-14,0.000,,Jan
1970-01-15,0.000,,Jan
1970-01-16,0.000,,Jan
1970-01-17,0.000,,Jan
1970-01-18,0.000,,Jan
1970-01-19,0.083,,Jan
1970-01-20,0.000,,Jan
1970-01-21,0.004,,Jan
1970-01-22,0.038,,Jan
1970-01-23,0.005,,Jan
1970-01-24,0.002,,Jan
1970-01-25,0.866,,Jan
1970-01-26,1.517,,Jan
1970-01-27,1.955,,Jan
1970-01-28,2.261,,Jan
1970-01-29,0.696,,Jan
1970-01-30,0.000,,Jan
1970-01-31,0.000,,Jan
1970-02-01,0.454,,Feb
1970-02-02,2.359,,Feb
1970-02-03,2.583,,Feb
1970-02-04,0.874,,Feb
1970-02-05,6.534,,Feb
1970-02-06,0.363,,Feb
1970-02-07,0.715,,Feb
1970-02-08,0.089,,Feb
1970-02-09,0.000,,Feb
1970-02-10,0.000,,Feb
1970-02-11,0.002,,Feb
1970-02-12,0.004,,Feb
1970-02-13,0.050,,Feb
1970-02-14,0.000,,Feb
1970-02-15,5.310,,Feb
1970-02-16,3.637,,Feb
1970-02-17,0.052,,Feb
1970-02-18,0.000,,Feb
1970-02-19,0.004,,Feb
1970-02-20,1.482,,Feb
1970-02-21,0.409,,Feb
1970-02-22,3.053,,Feb
1970-02-23,0.000,,Feb
1970-02-24,0.207,,Feb
1970-02-25,0.000,,Feb
1970-02-26,0.000,,Feb
1970-02-27,2.004,,Feb
1970-02-28,0.001,,Feb
1970-03-01,0.111,,Mar
1970-03-02,0.015,,Mar
1970-03-03,0.057,,Mar
1970-03-04,0.246,,Mar
1970-03-05,3.524,,Mar
1970-03-06,0.009,,Mar
1970-03-07,0.000,,Mar
1970-03-08,0.015,,Mar
1970-03-09,0.228,,Mar
1970-03-10,0.000,,Mar
