ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PABE: T2_mean_12km,0.2,1.57 (**),-0.64,0.81,0.69 (**),0.38,0.12,0.3,0.32,1.12 (**),0.68,0.24
PABE: T2_mean_4km,0.19,1.58 (**),-0.65,0.85,0.7 (**),0.37,0.13,0.3,0.33,1.13 (**),0.69,0.16
PABE: Tmean_orig,-0.01,1.14 (*),-0.57,0.75 (*),0.53 (*),0.28,0.12,0.29,0.33,1.08 (**),0.61,0.01
PABE: Tmean_station,0.03,1.04 (*),-0.62,0.9 (*),0.69 (**),0.28,0.2,0.3,0.4 (*),1.03 (**),0.58,-0.08
PABR: T2_mean_12km,0.61,1.22 (*),0.93 (**),1.16 (**),0.5 (**),-0.02,0.34 (**),0.73 (**),1.15 (**),2.21 (**),2.86 (**),0.84 (**)
PABR: T2_mean_4km,0.67,1.23 (*),0.92 (**),1.19 (**),0.56 (**),0.02,0.31,0.54 (**),1.11 (**),2.28 (**),2.72 (**),0.78 (*)
PABR: Tmean_orig,-0.01,1.14 (*),-0.57,0.75 (*),0.53 (*),0.28,0.12,0.29,0.33,1.08 (**),0.61,0.01
PABR: Tmean_station,0.9 (**),1.52 (**),0.89 (**),1.16 (**),0.7 (**),0.13,0.54 (**),0.57 (**),1.04 (**),2.01 (**),2.72 (**),0.98 (**)
PAFA: T2_mean_12km,0.41,1.39 (**),0.24,0.98 (**),0.76 (**),0.16,0.02,0.21,0.32 (**),1.26 (**),1.18 (**),0.22
PAFA: T2_mean_4km,-0.04,1.19 (*),-0.14,1.01 (**),0.66 (**),0.15,-0.02,0.23,0.38,1.11 (**),1.07 (*),0.17
PAFA: Tmean_orig,-0.01,1.14 (*),-0.57,0.75 (*),0.53 (*),0.28,0.12,0.29,0.33,1.08 (**),0.61,0.01
PAFA: Tmean_station,-0.48,0.32,-0.84,0.26,0.45,-0.03,-0.03,0.3,0.37,1.09 (**),0.5,-0.18
PANC: T2_mean_12km,-0.12,0.5,-0.32,0.56 (**),1.26 (**),0.33 (**),0.36 (**),0.34 (**),0.38 (**),1.05 (**),0.92 (**),0.36
PANC: T2_mean_4km,-0.19,0.48,-0.29,0.66 (**),1.26 (**),0.26,0.37 (**),0.34 (**),0.39 (**),1.07 (**),0.97 (**),0.54
PANC: Tmean_orig,-0.01,1.14 (*),-0.57,0.75 (*),0.53 (*),0.28,0.12,0.29,0.33,1.08 (**),0.61,0.01
PANC: Tmean_station,-0.27,0.41,-0.39,0.3,0.27,0.28,0.43 (**),0.43 (**),0.44 (**),0.99 (**),0.66,0.26
